AcceptedTaxonID	CommonName	TransliteratedName	Country	Area	Language	ReferenceID	
107345	macropode				French	51	
107397	Πριονοκάβουρας				Modern Greek (1453-)	147411	
107264	Παραμόλα				Modern Greek (1453-)	147411	
209430	maka-`a-loa				Hawaiian	102812	
107345	stankelbeinkrabbe				Norwegian Nynorsk	147411	
107345	stankelbenkrabbe				Norwegian Bokmål	147411	
107281	nagelkrab				Dutch	51	
107281	polystkrab				Dutch	51	
107281	teennagel				Dutch	51	
107281	polished crab				English	51	
395036	tuberculate pear crab				English	42	
107281	thumbnail crab				English	147411	
422188	Sally lightfoot crab				English		
422070	southern stone crab				English	124438	
439986	chip crab				English	102812	
421969	needlenose pear crab				English	102812	
421970	dartnose pear crab				English	102812	
442143	scarlet mime crab				English	102812	
422069	Gulf stone crab				English	102812	
422070	Florida stone crab				English	102812	
241128	Cuban stone crab				English	102812	
422125	hoary rubble crab				English	102812	
444265	smooth-hand mud crab				English	102812	
422133	delicate coral crab				English	102812	
422187	mangrove root crab				English	102812	
207523	mottled lightfoot crab				English	102812	
207529	Natal lightfoot crab				English	102812	
107281	crabe écusson				French	9234	
207529	'a'aama				Hawaiian	102812	
107281	nagelkrabba				Swedish	147411	
107319	paddenstoelkrab				Dutch		
107318	paddestoelkrab				Dutch	51	
107273	cirkelronde krab				Dutch	51	
107273	circular crab				English	51	
107273	old mans face crab				English	51	
107318	strawberry crab				English	51	
158458	heavy marsh crab				English	2901	
422195	mangrove marsh crab				English	102812	
158458	purple marsh crab				English	102812	
422036	velvet horse crab				English	102812	
241109	blackpoint sculling crab				English	102812	
422040	crevice sculling crab				English	102812	
422057	glabrous broadface crab				English	102812	
422075	lobate mud crab				English	102812	
158416	flatback mud crab				English	102812	
394928	asymmetric mud crab				English	102812	
422076	ridgeback mud crab				English	102812	
158424	smooth mud crab				English	102812	
422081	knobbed mud crab				English	102812	
422112	craggy bathyal crab				English	102812	
444224	pom-pom crab				English	102812	
444224	kūmimi-pua				Hawaiian	102812	
107380	gërthia e barishteve				Albanian	151643	
107380	gredhja e barishteve				Albanian	151643	
107398	nekora				Basque		
107398	nècora				Catalan		
107381	strandkrabbe				Danish		
107276	taskekrabbe				Danish	147411	
107381	almindelig strandkrabbe				Danish	147411	
107398	Samtkrabbe				German	1116	
107381	gemeine Standkrabbe				German	1116	
107276	Taschenkrebs				German	1116	
107381	gemeine Strandkrabbe				German		
107381	Strandkrabbe				German	147412	
107381	gewone strandkrab				Dutch	685	
107381	strandkrab				Dutch	51	
107276	Noordzeekrab				Dutch	51	
107276	grote noordzeekrab				Dutch	51	
107276	zeekrab				Dutch	51	
107276	hoofdkrab				Dutch	51	
107276	grote krab				Dutch	51	
107276	toogkrab				Dutch	51	
107276	steenkrab				Dutch	51	
107276	slagkrab				Dutch	51	
107381	gewone krab				Dutch	51	
107381	landkrab				Dutch	51	
107398	spanjool				Dutch	51	
107398	fluwelen zwemkrab				Dutch	685	
107381	European shore-crab				English	5919	
107381	common shore crab				English	123768	
107381	green crab				English	2901	
107360	inflated spiny crab				English	2901	
107381	shore crab				English	51	
107381	harbour crab				English	51	
107276	edible crab				English	51	
107398	velvet swimming crab				English	51	
107381	green shore crab				English	147411	
158057	rock crab				English	124438	
107398	devil crab				English		
441503	globose kelp crab				English	102812	
421950	false arrow crab				English	102812	
421996	sharphorn clinging crab				English	102812	
442130	shorthorn clinging crab				English	102812	
422012	quillback spiny crab				English	102812	
158456	thorned spiny crab				English	102812	
422013	knobbed spiny crab				English	102812	
158056	Jonah crab				English	102812	
440382	red rock crab				English	102812	
422117	spiked bathyal crab				English	102812	
107381	rantataskurapu				Finnish		
107381	crabe enragé				French	51	
107381	crabe vert				French	51	
107276	crabe-dormeur				French	1116	
107398	etrille commune				French	51	
107398	etrille de sable				French	51	
107276	tourteau				French	51	
107276	dormeur				French	9269	
107398	nécora				Galician		
107380	Τσαγανός				Modern Greek (1453-)	147411	
107398	Χνουδοκάβουρας				Modern Greek (1453-)	147411	
107276	taskekrabbe				Norwegian Nynorsk	147411	
107276	taskekrabbe				Norwegian Bokmål	147411	
107398	fløyelskrabbe				Norwegian		
107398	navalheira				Portuguese		
107276	sapateira				Portuguese	124438	
107380	Травяной краб				Russian	147411	
107380	Зеленый краб				Russian	147411	
107276	buey				Spanish	124438	
107398	nécora				Spanish		
107381	cangrejo de mar común				Spanish		
107381	cangrejo verde europeo				Spanish		
107381	strandkrabba				Swedish	147411	
107276	krabbtaska				Swedish	147411	
107380	Краб трав’яний 				Ukrainian	147411	
107380	Трав’яний краб				Ukrainian	147411	
107288	gërthia me push				Albanian	151643	
107353	merimangë deti e Gibit				Albanian	151643	
107277	maskekrabbe				Danish	147411	
107302	nøddekrabbe				Danish	147411	
107322	sandkrabbe				Danish	147411	
107323	violinkassekrabbe				Danish	147411	
107322	nordische Seespinne				German	1116	
107322	Zaikobbe				German	51	
107277	langschaarkrab				Dutch	51	
107277	predikantenkrab				Dutch	51	
107277	kubikelmeter				Dutch	51	
107277	Chineesje				Dutch	51	
107277	predikantje				Dutch	51	
107277	koggurmerkees				Dutch	51	
107358	vierhoornige spinkrab				Dutch	685	
107322	spinkrab				Dutch	755	
107322	duivelskrabbetje				Dutch	51	
107322	augustiner				Dutch	51	
107294	kleine kiezelkrab				Dutch	51	
107302	gladde kiezelkrab				Dutch	51	
107301	ruwe kiezelkrab				Dutch	51	
107322	gewone spinkrab				Dutch	51	
107322	zeespin				Dutch	51	
107322	muiskrab				Dutch	51	
107323	rode spinkrab				Dutch	51	
107353	gebochelde spinkrab				Dutch	51	
107277	helmkrab				Dutch	51	
107278	gezaagde krab				Dutch	51	
107278	toothed pirimela				English	51	
107294	Cranch's nut crab				English	51	
107302	Bryers nut crab				English	51	
107301	Pennant's nut crab				English	51	
107323	contracted crab				English	51	
107322	great spider crab				English	51	
107277	helmet crab				English	51	
107277	masked crab				English	51	
107353	Gibb's sea spider				English	51	
395028	scaly rock crab				English		
107302	Bryer's nut crab				English	147411	
107292	angular crab				English	147411	
107358	four-horned spider crab				English	147411	
107459	tidal spray crab				English	102812	
422190	mangrove tree crab				English	102812	
421928	sculptured clutch crab				English	102812	
441151	thinarm clutch crab				English	102812	
441476	spined kelp crab				English	102812	
441478	graceful kelp crab				English	102812	
240780	northern kelp crab				English	102812	
441490	cryptic kelp crab				English	102812	
441493	Venice kelp crab				English	102812	
107322	Atlantic lyre crab				English	102812	
107323	Arctic lyre crab				English	102812	
442167	Pacific lyre crab				English	102812	
422015	massive urn crab				English	102812	
422016	oval urn crab				English	102812	
422017	eggshell urn crab				English	102812	
422018	broadback urn crab				English	102812	
442367	sea urchin crab				English	102812	
440962	dentate broadface crab				English	102812	
207578	horned ghost crab				English	102812	
107322	araignée nordique				French	1116	
107277	coryste				French	51	
107353	araignée à rostre pointu				French	51	
107464	granchio fantasma  				Italian	147411	
107323	gitarpyntekrabbe				Norwegian Nynorsk	147411	
107323	gitarpyntekrabbe				Norwegian Bokmål	147411	
107323	maskeringskrabba				Swedish	147411	
107277	skråpukskrabba				Swedish	147411	
107302	romboidkrabba				Swedish	147411	
107322	hövre				Swedish	147411	
234117	rote Kurzschwanzekrebs				German	9810	
234117	Tiefseekrabbe				German	9810	
234117	Steinkrabbe				German	9810	
234117	red crab				English	9810	
234117	West African geryon				English	9810	
158407	red deepsea crab				English	2901	
158422	smooth albow crab				English	2901	
158431	fivespine purse crab				English	2901	
158443	mottled purse crab				English	2901	
444382	Montagu's crab				English	147411	
421935	pink purse crab				English	102812	
210137	simple collector crab				English	102812	
441601	moss crab				English	102812	
441602	sheep crab				English	102812	
158422	smooth elbow crab				English	102812	
394996	golden deepsea crab				English	102812	
443940	heavyhand rubble crab				English	102812	
443976	blackclaw crestleg crab				English	102812	
443978	molarless crestleg crab				English	102812	
443980	knobkneed crestleg crab				English	102812	
422110	browed bathyal crab				English	102812	
422132	horned mud crab				English	102812	
444037	fuzzy mud crab				English	102812	
209016	showy xanthid crab				English	102812	
444171	rough rubble crab				English	102812	
422145	armed rubble crab				English	102812	
422130	dirtytooth mud crab				English	102812	
234117	gèryon ouest-africain				French	9810	
210137	kumu-lipoa				Hawaiian	102812	
234117	granchio				Italian	9810	
234117	kani				Japanese	9810	
234117	caranguejo-africano-da-fundura				Portuguese	9810	
234117	cangrejo de Guinea				Spanish	9810	
234117	cangrejo real				Spanish	9810	
107303	gërthia arrë				Albanian	151643	
107327	gërthia akrep-merimangë				Albanian	151643	
107455	gërthia mesdhetare e bregut				Albanian	151643	
107455	gërthia trupkatrore				Albanian	151643	
107303	cranc rodó				Catalan	163039	
107414	brakvandskrabbe				Danish	147411	
107414	Zuiderseekrabbe				German	147412	
107414	brakwater krabbetje				Dutch	147411	
107414	zwart krabbetje				Dutch	51	
107327	schorpioenspinkrab				Dutch	685	
107333	gladde sponspootkrab				Dutch	51	
107414	Zuiderzeekrabbetje				Dutch	51	
107414	brakwaterkrabbetje				Dutch	51	
107327	gestekelde sponspootkrab				Dutch	51	
107327	scorpion spider crab				English	51	
107333	Leach's spider crab				English	51	
158049	squareback marsh crab				English	2901	
158461	redjointed fiddler				English	2901	
158462	Atlantic sand fiddler				English	2901	
158463	mud fiddler				English	2901	
107414	Zuiderzee crab				English	51	
107414	dwarf crab				English	51	
395016	striped shore crab				English	42	
107414	mud crab				English	163040	
107303	nut-crab				English	163039	
241200	dark shore crab				English	102812	
207541	pleated rock crab				English	102812	
107457	mottled shore crab				English	102812	
422192	fatfinger marsh crab				English	102812	
422194	humic marsh crab				English	102812	
421891	granulate shellback crab				English	102812	
440121	California shellback crab				English	102812	
421892	rough shellback crab				English	102812	
421893	spiny shellback crab				English	102812	
440204	Pacific carrier crab				English	102812	
421931	shouldered purse crab				English	102812	
421932	longfinger purse crab				English	102812	
421939	eroded clutch crab				English	102812	
421957	yellowline arrow crab				English	102812	
421958	red arrow crab				English	102812	
421998	furcate spider crab				English	102812	
421999	prickly spider crab				English	102812	
422000	tenspine spider crab				English	102812	
422022	fourhorn crab				English	102812	
220551	horrid elbow crab				English	102812	
422077	broadback mud crab				English	102812	
107414	estuarine mud crab				English	102812	
445128	smooth mussel crab				English	102812	
445132	grooved mussel crab				English	102812	
378371	saltpan fiddler				English	102812	
