record_id	hierarchy_code	kingdom	phylum	class	order	family	superfamily	database_id	family_code
4	Plantae-Tracheophyta--Lycopodiales-Lycopodiaceae	Plantae	Tracheophyta		Lycopodiales	Lycopodiaceae		140	fer-001.0000
532	Plantae-Tracheophyta--Selaginellales-Selaginellaceae	Plantae	Tracheophyta		Selaginellales	Selaginellaceae		140	fer-002.0000
1283	Plantae-Tracheophyta--Isoetales-Isoetaceae	Plantae	Tracheophyta		Isoetales	Isoetaceae		140	fer-003.0000
1505	Plantae-Tracheophyta--Ophioglossales-Ophioglossaceae	Plantae	Tracheophyta		Ophioglossales	Ophioglossaceae		140	fer-004.0000
1661	Plantae-Tracheophyta--Psilotales-Psilotaceae	Plantae	Tracheophyta		Psilotales	Psilotaceae		140	fer-005.0000
1684	Plantae-Tracheophyta--Equisetales-Equisetaceae	Plantae	Tracheophyta		Equisetales	Equisetaceae		140	fer-006.0000
1736	Plantae-Tracheophyta--Marattiales-Marattiaceae	Plantae	Tracheophyta		Marattiales	Marattiaceae		140	fer-007.0000
1879	Plantae-Tracheophyta--Osmundales-Osmundaceae	Plantae	Tracheophyta		Osmundales	Osmundaceae		140	fer-008.0000
1918	Plantae-Tracheophyta--Hymenophyllales-Hymenophyllaceae	Plantae	Tracheophyta		Hymenophyllales	Hymenophyllaceae		140	fer-009.0000
2557	Plantae-Tracheophyta--Gleicheniales-Gleicheniaceae	Plantae	Tracheophyta		Gleicheniales	Gleicheniaceae		140	fer-010.0000
2742	Plantae-Tracheophyta--Gleicheniales-Dipteridaceae	Plantae	Tracheophyta		Gleicheniales	Dipteridaceae		140	fer-011.0000
2755	Plantae-Tracheophyta--Gleicheniales-Matoniaceae	Plantae	Tracheophyta		Gleicheniales	Matoniaceae		140	fer-012.0000
2763	Plantae-Tracheophyta--Schizaeales-Lygodiaceae	Plantae	Tracheophyta		Schizaeales	Lygodiaceae		140	fer-013.0000
2795	Plantae-Tracheophyta--Schizaeales-Anemiaceae	Plantae	Tracheophyta		Schizaeales	Anemiaceae		140	fer-014.0000
2938	Plantae-Tracheophyta--Schizaeales-Schizaeaceae	Plantae	Tracheophyta		Schizaeales	Schizaeaceae		140	fer-015.0000
2980	Plantae-Tracheophyta--Salviniales-Marsileaceae	Plantae	Tracheophyta		Salviniales	Marsileaceae		140	fer-016.0000
3048	Plantae-Tracheophyta--Salviniales-Salviniaceae	Plantae	Tracheophyta		Salviniales	Salviniaceae		140	fer-017.0000
3075	Plantae-Tracheophyta--Cyatheales-Thyrsopteridaceae	Plantae	Tracheophyta		Cyatheales	Thyrsopteridaceae		140	fer-018.0000
3078	Plantae-Tracheophyta--Cyatheales-Loxsomataceae	Plantae	Tracheophyta		Cyatheales	Loxsomataceae		140	fer-019.0000
3083	Plantae-Tracheophyta--Cyatheales-Culcitaceae	Plantae	Tracheophyta		Cyatheales	Culcitaceae		140	fer-020.0000
3087	Plantae-Tracheophyta--Cyatheales-Plagiogyriaceae	Plantae	Tracheophyta		Cyatheales	Plagiogyriaceae		140	fer-021.0000
3107	Plantae-Tracheophyta--Cyatheales-Cibotiaceae	Plantae	Tracheophyta		Cyatheales	Cibotiaceae		140	fer-022.0000
3121	Plantae-Tracheophyta--Cyatheales-Cyatheaceae	Plantae	Tracheophyta		Cyatheales	Cyatheaceae		140	fer-023.0000
3838	Plantae-Tracheophyta--Cyatheales-Dicksoniaceae	Plantae	Tracheophyta		Cyatheales	Dicksoniaceae		140	fer-024.0000
3876	Plantae-Tracheophyta--Cyatheales-Metaxyaceae	Plantae	Tracheophyta		Cyatheales	Metaxyaceae		140	fer-025.0000
3881	Plantae-Tracheophyta--Polypodiales-Lonchitidaceae	Plantae	Tracheophyta		Polypodiales	Lonchitidaceae		140	fer-026.0000
3886	Plantae-Tracheophyta--Polypodiales-Saccolomataceae	Plantae	Tracheophyta		Polypodiales	Saccolomataceae		140	fer-027.0000
3923	Plantae-Tracheophyta--Polypodiales-Lindsaeaceae	Plantae	Tracheophyta		Polypodiales	Lindsaeaceae		140	fer-029.0000
4211	Plantae-Tracheophyta--Polypodiales-Dennstaedtiaceae	Plantae	Tracheophyta		Polypodiales	Dennstaedtiaceae		140	fer-030.0000
4507	Plantae-Tracheophyta--Polypodiales-Pteridaceae	Plantae	Tracheophyta		Polypodiales	Pteridaceae		140	fer-031.0000
6139	Plantae-Tracheophyta--Polypodiales-Cystopteridaceae	Plantae	Tracheophyta		Polypodiales	Cystopteridaceae		140	fer-032.0000
6194	Plantae-Tracheophyta--Polypodiales-Rhachidosoridaceae	Plantae	Tracheophyta		Polypodiales	Rhachidosoridaceae		140	fer-033.0000
6204	Plantae-Tracheophyta--Polypodiales-Diplaziopsidaceae	Plantae	Tracheophyta		Polypodiales	Diplaziopsidaceae		140	fer-034.0000
6210	Plantae-Tracheophyta--Polypodiales-Desmophlebiaceae	Plantae	Tracheophyta		Polypodiales	Desmophlebiaceae		140	fer-035.0000
6214	Plantae-Tracheophyta--Polypodiales-Hemidictyaceae	Plantae	Tracheophyta		Polypodiales	Hemidictyaceae		140	fer-036.0000
6217	Plantae-Tracheophyta--Polypodiales-Aspleniaceae	Plantae	Tracheophyta		Polypodiales	Aspleniaceae		140	fer-037.0000
7255	Plantae-Tracheophyta--Polypodiales-Thelypteridaceae	Plantae	Tracheophyta		Polypodiales	Thelypteridaceae		140	fer-038.0000
8645	Plantae-Tracheophyta--Polypodiales-Woodsiaceae	Plantae	Tracheophyta		Polypodiales	Woodsiaceae		140	fer-039.0000
8715	Plantae-Tracheophyta--Polypodiales-Athyriaceae	Plantae	Tracheophyta		Polypodiales	Athyriaceae		140	fer-040.0000
9641	Plantae-Tracheophyta--Polypodiales-Blechnaceae	Plantae	Tracheophyta		Polypodiales	Blechnaceae		140	fer-041.0000
9945	Plantae-Tracheophyta--Polypodiales-Onocleaceae	Plantae	Tracheophyta		Polypodiales	Onocleaceae		140	fer-042.0000
9958	Plantae-Tracheophyta--Polypodiales-Hypodematiaceae	Plantae	Tracheophyta		Polypodiales	Hypodematiaceae		140	fer-043.0000
9983	Plantae-Tracheophyta--Polypodiales-Dryopteridaceae	Plantae	Tracheophyta		Polypodiales	Dryopteridaceae		140	fer-044.0000
