name_code	common_name	database_id
fer-1566	Tailed grapefern	140
fer-1569	Trianglelobe moonwort	140
fer-1571	Parsley fern	140
fer-1571	Patotara	140
fer-s.1571	Parsley fern	140
fer-s.1571	Patotara	140
fer-1573	Fine-leaved parsley fern	140
fer-1574	Sparse-lobed Grape Fern	140
fer-1575	Nordischer Rautenfarn	140
fer-1575	Northern moonwort	140
fer-1576	Iowa moonwort	140
fer-1578	Scalloped moonwort	140
fer-1581	Cut-Leaf Grape Fern	140
fer-1581	lacy leaf grape fern.	140
fer-1583	Reflected grapefern	140
fer-1585	Frenchman's Bluff Moonwort	140
fer-1586	Western Moonwort	140
fer-1589	Dixie grapefern	140
fer-1590	Triangle Moonwort	140
fer-s.1590	Triangle Moonwort	140
fer-s.1591	Narrow Triangle Moonwort	140
fer-1593	Narrowleaf grapefern	140
fer-1594	Gemeine Mondraute	140
fer-1594	Moonwort	140
fer-s.1594	Gemeine Mondraute	140
fer-s.1594	Moonwort	140
fer-1597	Winter Grape Fern	140
fer-1598	&Auml;stige Mondraute	140
fer-1598	&Auml;stiger Rautenfarn	140
fer-1598	Daisy-leaf Grape Fern	140
fer-1599	Michigan Moonwort	140
fer-1601	Mingan Moonwort	140
fer-1602	Mountain moonwort	140
fer-1603	Little goblin moonwort	140
fer-1604	Vielteilige Mondraute (Rautenfarn)	140
fer-1604	Leathery Grape Fern	140
fer-1607	Blunt-lobed Grape Fern	140
fer-1608	Pale botrychium	140
fer-1609	Peculiar moonwort	140
fer-1610	Stalked Moonwort	140
fer-1611	Northern Moonwort	140
fer-1612	False daisyleaf moonwort	140
fer-1613	Crater Lake grapefern	140
fer-1614	Leathery grapefern	140
fer-1615	Ternate Grape Fern	140
fer-1615	St. Lawrence Grape Fern	140
fer-1617	Einfache Mondraute	140
fer-1617	Least Moonwort	140
fer-s.1617	Einfache Mondraute	140
fer-s.1617	Least Moonwort	140
fer-1620	Spatulate Moonwort	140
fer-1628	Virginische Mondraute (Rautenfarn)	140
fer-1628	Rattlesnake Fern	140
fer-s.1628	Virginische Mondraute (Rautenfarn)	140
fer-s.1628	Rattlesnake Fern	140
fer-1642	Whisk Fern	140
fer-1664	Acker-Schachtelhalm	140
fer-1664	Field Horsetail	140
fer-s.1664	Acker-Schachtelhalm	140
fer-s.1664	Field Horsetail	140
fer-1667	Teich-Schachtelhalm	140
fer-1667	Water Horsetail	140
fer-1669	Winter-Schachtelhalm	140
fer-1669	Common Scouring Rush	140
fer-s.1669	Winter-Schachtelhalm	140
fer-s.1669	Common Scouring Rush	140
fer-s.1670	Scouringrush horsetail	140
fer-1671	Smooth horsetail	140
fer-1674	Sumpf-Schachtelhalm	140
fer-1674	Marsh Horsetail	140
fer-1675	Wiesen-Schachtelhalm	140
fer-1675	Meadow Horsetail	140
fer-1676	&Auml;stiger Schachtelhalm	140
fer-1676	Branched scouringrush	140
fer-s.1676	&Auml;stiger Schachtelhalm	140
fer-s.1676	Branched scouringrush	140
fer-1678	Dwarf Scouring Rush	140
fer-1679	Wald-Schachtelhalm	140
fer-1679	Wood Horsetail	140
fer-1680	Riesen-Schachtelhalm	140
fer-1680	Giant Horsetail	140
fer-s.1680	Riesen-Schachtelhalm	140
fer-s.1680	Giant Horsetail	140
fer-s.1681	Giant Horsetail	140
fer-1682	Rauhz&auml;hniger Schachtelhalm	140
fer-1683	Bunter Schachtelhalm	140
fer-1683	Variegated Horsetail	140
fer-s.1683	Bunter Schachtelhalm	140
fer-s.1683	Variegated Horsetail	140
fer-s.1684	Alaskan scouringrush	140
fer-1685	Els&auml;sser Schachtelhalm	140
fer-1685	Alsace Horsetail	140
fer-1686	Aufsteigender Schachtelhalm	140
fer-1686	Climbing Horsetail	140
fer-1688	Dyces Schachtelhalm	140
fer-1688	Dyce's Horsetail	140
fer-1689	Ferriss' Scouring-rush	140
fer-1690	Font-Quers Schachtelhalm	140
fer-1690	Font Quer's Horsetail	140
fer-1691	Geisserts Schachtelhalm	140
fer-1691	Geissert's Horsetail	140
fer-1694	Ufer-Schachtelhalm	140
fer-1694	Shore Horsetail	140
fer-1697	S&uuml;dlicher Schachtelhalm	140
fer-1697	Southern Horsetail	140
fer-1700	Moores Schachtelhalm	140
fer-1700	Moore's Horsetail	140
fer-1775	King fern or Giant fern	140
fer-1842	King fern	140
fer-1842	Para	140
fer-1842	Potato fern	140
fer-1854	King fern	140
fer-1854	Crape fern	140
fer-1859	Heruheru	140
fer-1859	Single Crepe Fern	140
fer-1862	Crepe fern	140
fer-1862	Heruheru	140
fer-1862	Prince of Wales feathers	140
fer-1862	Ngutungutu kiwi (Maori)	140
fer-1866	Cinnamon Fern	140
fer-s.1866	Cinnamon Fern	140
fer-1870	Interrupted fern	140
fer-s.1870	Interrupted fern	140
fer-1883	K&ouml;nigsfarn	140
fer-1883	Royal Fern	140
fer-1884	Royal fern	140
fer-1911	Bristle fern	140
fer-1917	Bristle fern	140
fer-1968	Entire-winged Bristle Fern	140
fer-2042	Royal bristle fern	140
fer-2066	Treemoss bristle fern	140
fer-2070	Lined bristle fern	140
fer-2073	Scale edge bristle fern	140
fer-2080	Dwarf Bristle Fern	140
fer-2082	Dotted bristle fern	140
fer-s.2082	Dotted bristle fern	140
fer-s.2083	Florida Dotted Bristle Fern	140
fer-2101	Appalachian Bristle Fern	140
fer-2118	Pr&auml;chtiger Haarfarn (DE); Helecho de cristal (ES)	140
fer-2152	Weft fern	140
fer-2209	Austral filmy ferm	140
fer-2261	Common filmy fern	140
fer-2265	Irirangi (Maori)	140
fer-2295	Shiny filmy fern	140
fer-2372	Bordered filmy fern	140
fer-2395	Kidney fern	140
fer-2395	Raurenga (Maori)	140
fer-2415	Alpine filmy fern	140
fer-2427	Smooth filmy fern	140
fer-2461	Piripiri (Maori)	140
fer-2486	Taylors Filmy Fern	140
fer-2504	Englischer Hautfarn (DE); Tunbridge filmy fern (EN); Helechilla (ES)	140
fer-2520	Wilsons Hautfarn (DE); Helechilla de Wilson (ES); Wilson's Filmy Fern (EN)	140
fer-2521	Wright's Filmy Fern	140
fer-2532	Drooping forkedfern	140
fer-2582	Umbrella fern	140
fer-2582	Waekura	140
fer-2582	Tapuwae kotuku	140
fer-2584	Shiny Fan fern	140
fer-2584	Umbrella fern	140
fer-s.2584	Shiny Fan fern	140
fer-s.2584	Umbrella fern	140
fer-2612	Spreading Fan fern	140
fer-2647	Silky fan fern	140
fer-2664	Dwarf coral fern	140
fer-2665	Alpine coral fern	140
fer-2669	Tangle fern	140
fer-2669	Pouched coral fern	140
fer-2669	Spider fern	140
fer-2669	Swamp umbrella fern	140
fer-2675	Carrier tangle	140
fer-2675	Waewaekaka (Maori)	140
fer-2675	Umbrella fern	140
fer-2675	coral fern	140
fer-2703	Giant Scrambling fern.	140
fer-2733	Mangemange (Maori)	140
fer-2743	Japanese Climbing Fern	140
fer-2748	Climbing maidenhair	140
fer-2748	Snake fern	140
fer-2748	Small-leaved Climbing Fern	140
fer-2750	American Climbing Fern	140
fer-2750	Windsor Fern	140
fer-2766	Pineland fern	140
fer-2835	Mexican Flowering Fern	140
fer-2898	Wright's Flowering Fern	140
fer-2907	Forked Comb fern	140
fer-2908	Fan fern	140
fer-2912	Comb fern	140
fer-2912	Narrow Comb fern	140
fer-2912	Southern Comb fern	140
fer-2922	Little curlygrass fern	140
fer-2939	Ray Spiked Fern	140
fer-2966	Common Nardoo	140
fer-2975	Rough waterclover	140
fer-2979	Bigfoot Water Clover	140
fer-2981	Dwarf waterclover	140
fer-2983	Chihuahuan waterclover	140
fer-2988	Pacific waterclover	140
fer-2993	Vierbl&auml;ttriger Kleefarn (DE); European Water Clover	140
fer-2993	Water shamrock (EN); Trebol de agua (ES)	140
fer-2996	Gestreifter Kleefarn	140
fer-3000	Hairy Water Clover	140
fer-3000	Hairy peppermint	140
fer-3005	Latex fern	140
fer-3007	American Pillwort	140
fer-3010	Pillenfarn	140
fer-3011	Kleiner Pillenfarn	140
fer-3012	Australian pillwort; New Zealand Pillwort	140
fer-3015	Rundbl&auml;ttriger Schwimmfarn	140
fer-3020	Water spangles	140
fer-3021	Schwimmfarn (DE); Floating watermoss (EN); Helechillo de agua (ES)	140
fer-3026	Kariba weed	140
fer-3028	Kleiner Algenfarn	140
fer-3028	Eastern Mosquito Fern	140
fer-3028	Carolina mosquitofern	140
fer-3029	Gro&szlig;er Algenfarn (DE); Large Mosquito Fern	140
fer-3029	Ferny Azolla	140
fer-3029	Pacific Azolla (EN); Karearera	140
fer-3029	Retoreto (Maori); Tembladerilla	140
fer-3029	luchecillo (ES)	140
fer-s.3029	Gro&szlig;er Algenfarn (DE); Large Mosquito Fern	140
fer-s.3029	Ferny Azolla	140
fer-s.3029	Pacific Azolla (EN); Karearera	140
fer-s.3029	Retoreto (Maori); Tembladerilla	140
fer-s.3029	luchecillo (ES)	140
fer-3031	Mexican Mosquito Fern	140
fer-3032	Nile Azolla	140
fer-3033	Ferny Azolla	140
fer-3033	Pacific Azolla	140
fer-3033	Feathered mosquitofern	140
