ReferenceID,Year,Title,Details,Authors
124542,2006,"Proc. Calif. Acad. Sci.","Vol.: 57 Issue: 22 p. 587-593",Kriebel
124544,2005,"Acta Bot. Brasil.","Vol.: 19 Issue: 3 p. 576-578","Baumgratz & D'El Rei Souza"
124545,2005,"Acta Bot. Brasil.","Vol.: 19 Issue: 3 p. 574-576","Baumgratz & D'El Rei Souza"
124546,2007,Novon,"Vol.: 17 Issue: 4 p. 525-527","C. Ulloa, D. Fernandez & D. A. Neill"
124547,2006,"Proc. Calif. Acad. Sci., Ser. 4 ","Vol.: 57 p. 549","Almeda & Dorr"
124548,2004,Bradea,"Vol.: 10 Issue: 1 p. 28","Baumgratz & D'El Rei Sousa"
124549,2004,Bradea,"Vol.: 10 Issue: 1 p. 26-28","Baumgratz & D'El Rei Sousa"
124550,2006,"Acta Bot. Brasil.","Vol.: 20 Issue: 2 p. 484","Baumgratz & Chiaveg."
124551,2007,Willdenowia,"Vol.: 37 Issue: 1 p. 314",Becquer
124552,2008,"J. Bot. Res. Inst. Texas","Vol.: 2 Issue: 1 p. 35-40","Judd, Ionta, Clase & Skean"
124553,2008,"Proc. Calif. Acad. Sci., Ser. 4 ","Vol.: 58 Issue: 10 p. 490","Kriebel, Aguilar & Almeda"
124554,2008,"Bot. J. Linn. Soc.","Vol.: 158 p. 489-492","R.Tavares, Baumgratz & R.Goldenb."
124555,2008,"Harvard Pap. Bot.","Vol.: 13 Issue: 2 p. 223","R. Goldenb. & C. V. Martin"
124556,2008,"Harvard Pap. Bot.","Vol.: 13 Issue: 2 p. 225","R. Goldenb. & C. V. Martin"
124557,1844,"Ind. Sem. Hort. Berol. Adn.","p. 15","Kunth & Bouché"
124558,2008,"Anales Jard. Bot. Madrid","Vol.: 65 Issue: 2 p. 383","C.Ulloa & Homeier"
124559,2009,Novon,"Vol.: 19 p. 76","Lundin & B. Nord."
124562,2009,Novon,"Vol.: 19 p. 219","R. Romero, P. J. F. Guimarães & Leoni"
124563,2009,"Syst. Bot. ","Vol.: 34 Issue: 2 p. 324","Amorim, Michelangeli & Goldenb."
124564,2009,Brittonia,"Vol.: 61 Issue: 3 p. 207","Kriebel & Almeda"
124565,2009,Brittonia,"Vol.: 61 Issue: 3 p. 211","Almeda & Kriebel"
124566,2009,Brittonia,"Vol.: 61 Issue: 3 p. 214","Kriebel & Almeda"
124567,2009,"Journal of the Torrey Botanical Society","Vol.: 136 Issue: 3 p. 293","R. Goldenb. & Reginato"
124568,2009,"Journal of the Torrey Botanical Society","Vol.: 136 Issue: 3 p. 294","R. Goldenb. & Reginato"
124569,2009,"Journal of the Torrey Botanical Society","Vol.: 136 Issue: 3 p. 298","R. Goldenb. & Reginato"
124570,2009,"Kew Bull.","Vol.: 64 p. 279","Woodgyer & Zappi"
124571,2009,"Kew Bull.","Vol.: 64 p. 280","Woodgyer & Zappi"
124572,2009,"Kew Bull. ","Vol.: 64 p. 307","R.D. Stone"
124573,2009,"Kew Bull. ","Vol.: 64 p. 311","R.D. Stone"
124575,2009,Hoehnea,"Vol.: 36 Issue: 1 p. 144","F. S. Meyer, P. J. F. Guim. & R. Goldenb."
124576,2010,Novon,"Vol.: 20 p. 129","Baumgratz & D'El Rei Souza"
124578,2010,Rodriguesia,"Vol.: 61 Issue: 1 p. 117","Reginato, R. Goldenb. & Baumgratz"
124579,2010,Novon,"Vol.: 20 Issue: 3 p. 371","C. Ulloa & Achá"
124580,2010,Rodriguezia,"Vol.: 61 Issue: 1 p. 149","Tavares & Baumgratz"
124581,2010,Rodriguezia,"Vol.: 61 Issue: 1 p. 150","Tavares & Baumgratz"
124582,2010,Brittonia,"Vol.: 62 Issue: 3 p. 210","Skean, Judd, Clase & Peguero"
124583,2010,Blumea,"Vol.: 55 Issue: 2 p. 139","R. Goldenb. & L. Kollman"
124584,2010,Brittonia,"Vol.: 62 Issue: 1 p. 28","M .E. Morales & Penneys"
124585,2010,"Kew Bulletin","Vol.: 64 p. 167","Baumgratz & D'El Rei Souza"
124586,2010,Rodriguesia,"Vol.: 61 p. S16","R. Romero"
124587,2010,Novon,"Vol.: 20 Issue: 1 p. 78","de Santiago"
124588,2009,"Proc. Calif. Acad. Sci.","Vol.: 60 Issue: 6 p. 69",Penneys
124601,2010,"Syst. Bot.","Vol.: 35 Issue: 4 p. 798","Penneys, Michelangeli, Judd & Almeda"
124602,2010,"Syst. Bot.","Vol.: 35 Issue: 4 p. 797","Penneys, Michelangeli, Judd & Almeda"
124603,2010,"Syst. Bot.","Vol.: 35 Issue: 4","Penneys, Michelangeli, Judd & Almeda"
124604,2010,"Syst. Bot.","Vol.: 35 Issue: 4","Penneys, Michelangeli, Judd & Almeda"
124605,2010,"Syst. Bot.","Vol.: 35 Issue: 4","Penneys, Michelangeli, Judd & Almeda"
124606,2010,"Syst. Bot.","Vol.: 35 Issue: 4","Penneys, Michelangeli, Judd & Almeda"
124607,2010,"Syst. Bot.","Vol.: 35 Issue: 4","Penneys, Michelangeli, Judd & Almeda"
124609,2010,"Syst. Bot.","Vol.: 35 Issue: 4","Penneys, Michelangeli, Judd & Almeda"
124610,2010,"Syst. Bot.","Vol.: 35 Issue: 4","Penneys, Michelangeli, Judd & Almeda"
124611,2010,"Syst. Bot.","Vol.: 35 Issue: 4","Penneys, Michelangeli, Judd & Almeda"
124612,2010,"Syst. Bot.","Vol.: 35 Issue: 4","Penneys, Michelangeli, Judd & Almeda"
124613,2010,"Syst. Bot.","Vol.: 35 Issue: 4","Penneys, Michelangeli, Judd & Almeda"
124614,2010,"Syst. Bot.","Vol.: 35 Issue: 4 p. 797","Penneys, Michelangeli, Judd & Almeda"
124615,2010,"Syst. Bot.","Vol.: 35 Issue: 4 p. 797","Penneys, Michelangeli, Judd & Almeda"
124616,2010,"Syst. Bot.","Vol.: 35 Issue: 4 p. 797","Penneys, Michelangeli, Judd & Almeda"
124617,2010,"Syst. Bot.","Vol.: 35 Issue: 4 p. 798","Penneys, Michelangeli, Judd & Almeda"
124618,2010,"Syst. Bot.","Vol.: 35 Issue: 4 p. 798","Penneys, Michelangeli, Judd & Almeda"
124619,2010,"Syst. Bot.","Vol.: 35 Issue: 4 p. 798","Penneys, Michelangeli, Judd & Almeda"
124620,2010,"Syst. Bot.","Vol.: 35 Issue: 4 p. 798","Penneys, Michelangeli, Judd & Almeda"
124621,2010,"Syst. Bot.","Vol.: 35 Issue: 4 p. 798","Penneys, Michelangeli, Judd & Almeda"
124622,2010,"Syst. Bot.","Vol.: 35 Issue: 4 p. 798","Penneys, Michelangeli, Judd & Almeda"
124623,2010,"Syst. Bot.","Vol.: 35 Issue: 4 p. 798","Penneys, Michelangeli, Judd & Almeda"
124624,2010,"Syst. Bot.","Vol.: 35 Issue: 4","Penneys, Michelangeli, Judd & Almeda"
124625,2010,"Syst. Bot.","Vol.: 35 Issue: 4 p. 798","Penneys, Michelangeli, Judd & Almeda"
124626,2010,"Syst. Bot.","Vol.: 35 Issue: 4  p. 796","Penneys, Michelangeli, Judd & Almeda"
124627,2010,"Syst. Bot.","Vol.: 35 Issue: 4  p. 797","Penneys, Michelangeli, Judd & Almeda"
124628,2010,"Syst. Bot.","Vol.: 35 Issue: 4  p. 797","Penneys, Michelangeli, Judd & Almeda"
124629,2010,"Syst. Bot.","Vol.: 35 Issue: 4  p. 797","Penneys, Michelangeli, Judd & Almeda"
124630,2010,"Syst. Bot.","Vol.: 35 Issue: 4  p. 797","Penneys, Michelangeli, Judd & Almeda"
124631,2010,"Syst. Bot.","Vol.: 35 Issue: 4  p. 797","Penneys, Michelangeli, Judd & Almeda"
124632,2010,"Syst. Bot.","Vol.: 35 Issue: 4  p. 797","Penneys, Michelangeli, Judd & Almeda"
124633,2010,"Syst. Bot.","Vol.: 35 Issue: 4  p. 797","Penneys, Michelangeli, Judd & Almeda"
124634,2010,"Syst. Bot.","Vol.: 35 Issue: 4  p. 797","Penneys, Michelangeli, Judd & Almeda"
124639,2010,Willdenowia,"Vol.: 40 p. 281",Becquer
124646,2011,"Systematic Botany","Vol.: 36 Issue: 1 p. 119-123","R. Goldenb. & J. Meirelles"
124656,2011,Brittona,"Vol.: 63 Issue: 2 p. 220","R. Goldenb & E. Camargo"
124657,2011,Brittona,"Vol.: 63 Issue: 2 p. 223","R. Goldenb & E. Camargo"
124658,2011,Brittona,"Vol.: 63 Issue: 2 p. 246","R. Goldenb., Caddah & Michelangeli"
124695,1947,Phytologia,"Vol.: 2 p. 279",Gleason
124696,1850,"Ann. Sci. Nat., Bot., Ser. 3","Vol.: 16 p. 238",Naudin
124697,1850,"Ann. Sci. Nat., Bot., Ser. 3","Vol.: 16 p. 126",Naudin
124698,1828,"Prodr. ","Vol.: 3 p. 183",DC.
124699,1867,"Gen. Pl.","Vol.: 1 p. 764","Triana in Benth. & Hook."
124700,1867,"Gen. Pl.","Vol.: 1 p. 764","Triana in Benth. & Hook."
124701,2011,Phytokeys,"Vol.: 3 p. 36","S.S.Renner & R.Goldenb."
124703,1899,"Mem. Torrey Bot. Club","Vol.: 6 p. 39",Cogn.
124716,2010,"Revista Peruana Biol.","Vol.: 17 Issue: 2 p. 145","Sagást., S. Arroyo A. & E. Rodr."
124731,2011,"Kew Bulletin","Vol.: 66 Issue: 2 p. 163-165","R. Romero & Woodgyer"
124732,2011,"Harvard Papers in Botany","Vol.: 16 Issue: 1 p. 57","K. Fidanza & Almeda"
124733,2011,"Harvard Papers in Botany","Vol.: 16 Issue: 1 p. 59","K. Fidanza & Almeda"
124734,2011,"Kew Bulletin","Vol.: 66 Issue: 2 p. 273","Baumgratz, Amorim & A. B. Jardim"
