ReferenceID,Year,Title,Details,Authors
347283,1921,"Veg. Erde [Engler], Vol. 9,","Vol.: 3 Issue: 2 p. 765","Gilg ex Engl."
347284,1897,"Bull. Misc. Inform. Kew","Vol.: 1897 p. 268",Baker
347288,1947,"Kew Bull. ","Vol.: 1 p. 95",Brenan
347291,1979,"Adansonia, sér. 2,","Vol.: 18 p. 422",Jacq.-Fél.
347293,1908,"Ann. Mus. Congo, sér. 5,","Vol.: 2 p. 332","De Wild."
347295,1921,"Pflanzenw. Afrikas","Vol.: 3 Issue: 2 p. 768","Gilg ex Engl."
347297,1979,"Adansonia, sér. 2,","Vol.: 18 p. 416",Jacq.-Fél.
347298,1904,"Bot. Jahrb. Syst. ","Vol.: 34 p. 101",Gilg
347299,1947,"Kew Bull. ","Vol.: 1 p. 89",Brenan
347300,1979,"Adansonia, sér. 2,","Vol.: 18 p. 412",Jacq.-Fél.
347301,1898,"Monogr. Afrik. Pflanzen.-Fam.","Vol.: 2 p. 44",Gilg
347302,1934,"Notizbl. Bot. Gart. Berlin-Dahlem ","Vol.: 11 p. 1078",Markgr.
347303,1934,"Notizbl. Bot. Gart. Berlin-Dahlem","Vol.: 11 p. 1078","Markgr. in Mildbr."
347305,1953,"Bull. Inst. Franç. Afrique Noire ","Vol.: 15 p. 995",Jacq.-Fél.
347306,1979,"Adansonia, sér. 2, ","Vol.: 18 p. 412",Jacq.-Fél.
347307,1979,"Adansonia, sér. 2,","Vol.: 18 p. 418",Jacq.-Fél.
347309,1898,"Monogr. Afrik. Pflanzen.-Fam.","Vol.: 2 p. 41",Gilg
347311,1979,"Adansonia, sér. 2, ","Vol.: 18 p. 412",Jacq.-Fél.
347312,1895,"Pflanzenw. Ost-Afrikas ","Vol.: C p. 296","Taub. in Engler"
347314,1979,"Adansonia, sér. 2,","Vol.: 18 p. 422",Jacq.-Fél.
347316,1974,"Kew Bull. ","Vol.: 29 p. 148",Wickens
347318,1947,"Kew Bull. ","Vol.: 1 p. 92",Brenan
347319,1871,"Fl. Trop. Afr.","Vol.: 2 p. 463","Hook. f. in Oliver"
347322,1898,"Monogr. Afrik. Pflanzen.-Fam.","Vol.: 2 p. 43",Gilg
350031,1850,"Ann. Sci. Nat., Bot., ser. 3, ","Vol.: 14 p. 119",Naudin
350547,1981,"Kew Bull.","Vol.: 36 Issue: 1 p. 23","C.Hansen & Wickens"
356182,1977,"Adansonia, ser. 2,","Vol.: 16 Issue: 4 p. 412",Jacq.-Fél.
356183,1897,"Nat. Pflanzenfam. Nachtr. [Engler & Prantl]","p. 267",Gilg
366305,1885,"Fl. Bras.","Vol.: 14 Issue: 3 p. 309","Cogn. in Mart."
368999,1980,"Adansonia, sér. 2,","Vol.: 19 p. 260",Jacq.-Fél.
369004,1980,"Adansonia, sér. 2,","Vol.: 19 p. 262",Jacq.-Fél.
369010,1980,"Adansonia, sér. 2,","Vol.: 19 p. 258",Jacq.-Fél.
369011,1980,"Adansonia, sér. 2,","Vol.: 19 p. 264",Jacq.-Fél.
369023,1980,"Adansonia, sér. 2,","Vol.: 19 p. 260",Jacq.-Fél.
370253,1889,"Verh. Bot. Vereins Prov. Brandenburg ","Vol.: 31 p. 95","Cogn. ex Büttner"
370262,1871,"Trans. Linn. Soc. London ","Vol.: 28 Issue: 1 p. 58",Triana
370263,1844,"Flora ","Vol.: 27 p. 424",Hochst.
370272,1828,"Prodr. ","Vol.: 3 p. 5","Rchb. ex DC."
370273,1828,"Prodr. ","Vol.: 3 p. 6",DC.
370275,1932,"Notizbl. Bot. Gart. Berlin-Dahlem ","Vol.: 11 p. 672",Markgr.
