AcceptedTaxonID	ParentSpeciesID	InfraSpeciesEpithet	InfraSpeciesAuthorString	InfraSpeciesMarker	GSDNameStatus	Sp2000NameStatus	IsExtinct	HasPreHolocene	HasModern	LifeZone	AdditionalData	LTSSpecialist	LTSDate	InfraSpeciesURL	GSDNameGUID
1140282	1140280	personatus	(Sjöstedt, 1902)	Subspecies		Accepted name	False	False	True	terrestrial		Holger Braun	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:6423	urn:lsid:Orthoptera.speciesfile.org:TaxonName:6423
1140447	1140446	serrulatus	(Palisot de Beauvois, 1805)	Subspecies		Accepted name	False	False	True	terrestrial		Holger Braun	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:6112	urn:lsid:Orthoptera.speciesfile.org:TaxonName:6112
1140449	1140446	oreiotes	Rehn, J.A.G., 1936	Subspecies		Accepted name	False	False	True	terrestrial		Holger Braun	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:6110	urn:lsid:Orthoptera.speciesfile.org:TaxonName:6110
1140451	1140450	atlas	Rehn, J.A.G., 1936	Subspecies		Accepted name	False	False	True	terrestrial		Holger Braun	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:6106	urn:lsid:Orthoptera.speciesfile.org:TaxonName:6106
1140452	1140450	pilanus	Rehn, J.A.G., 1936	Subspecies		Accepted name	False	False	True	terrestrial		Holger Braun	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:6105	urn:lsid:Orthoptera.speciesfile.org:TaxonName:6105
1140577	1140576	apicalis	(Bolívar, I., 1886)	Subspecies		Accepted name	False	False	True	terrestrial		Holger Braun	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:5863	urn:lsid:Orthoptera.speciesfile.org:TaxonName:5863
1140581	1140576	inversus	Beier, 1957	Subspecies		Accepted name	False	False	True	terrestrial		Holger Braun	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:5861	urn:lsid:Orthoptera.speciesfile.org:TaxonName:5861
1140804	1140803	salvifolius	(Lichtenstein, A.A.H., 1796)	Subspecies		Accepted name	False	False	True	terrestrial		Holger Braun	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:463026	urn:lsid:Orthoptera.speciesfile.org:TaxonName:463026
1140808	1140803	notatus	Beier, 1960	Subspecies		Accepted name	False	False	True	terrestrial		Holger Braun	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:5424	urn:lsid:Orthoptera.speciesfile.org:TaxonName:5424
1140814	1140813	floridensis	(Beutenmüller, 1903)	Subspecies		Accepted name	False	False	True	terrestrial		Holger Braun	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:5416	urn:lsid:Orthoptera.speciesfile.org:TaxonName:5416
