ID	AcceptedTaxonID	Genus	SubgenusName	SpeciesEpithet	AuthorString	InfraSpecies	InfraSpeciesMarker	InfraSpeciesAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUID
158574	1199138	Sphaeropsocus		künowi	Enderlein, 1911				Junior synonym	Unambiguous synonym	urn:lsid:Psocodea.speciesfile.org:TaxonName:38
158576	1199138	Sphaeropsocus		künowii	Hagen, 1882				Junior synonym	Unambiguous synonym	urn:lsid:Psocodea.speciesfile.org:TaxonName:40
158578	1199138	Atropos		succinica	Hagen, 1882				Junior synonym	Unambiguous synonym	urn:lsid:Psocodea.speciesfile.org:TaxonName:44
158579	1199138	Troctes		succinicus	(Hagen, 1882)				Subsequent combination	Unambiguous synonym	urn:lsid:Psocodea.speciesfile.org:TaxonName:44
158580	1199138	Palaeotroctes		succinicus	(Hagen, 1882)				Subsequent combination	Unambiguous synonym	urn:lsid:Psocodea.speciesfile.org:TaxonName:44
158589	1199131	Sphaeropsocus		recens	Hickman, 1934				Original combination	Unambiguous synonym	urn:lsid:Psocodea.speciesfile.org:TaxonName:53
158594	1199127	Sphaeropsocus		argentinus	Badonnel, 1962				Original combination	Unambiguous synonym	urn:lsid:Psocodea.speciesfile.org:TaxonName:59
158595	1199127	Sphaeropsocopsis		argentinus	(Badonnel, 1962)				Subsequent combination	Unambiguous synonym	urn:lsid:Psocodea.speciesfile.org:TaxonName:59
158609	1199115	Tapinella	Psyllotroctes	plaumanni	(Roesler, 1940)				Subsequent combination	Unambiguous synonym	urn:lsid:Psocodea.speciesfile.org:TaxonName:73
158614	1199112	Pachytroctes	Psacadium	bilimbatus	(Enderlein, 1908)				Subsequent combination	Unambiguous synonym	urn:lsid:Psocodea.speciesfile.org:TaxonName:79
158615	1199112	Antilopsocus		bilimbatus	(Enderlein, 1908)				Subsequent combination	Unambiguous synonym	urn:lsid:Psocodea.speciesfile.org:TaxonName:79
158620	1199108	Pachytroctes	Peritroctes	natalensis	(Ribaga, 1911)				Subsequent combination	Unambiguous synonym	urn:lsid:Psocodea.speciesfile.org:TaxonName:84
158626	1199104	Pachytroctes	Peritroctes	angolensis	(Badonnel, 1955)				Subsequent combination	Unambiguous synonym	urn:lsid:Psocodea.speciesfile.org:TaxonName:90
158638	1199095	Pachytroctes		robusta	Vaughan, Thornton & New, 1991				Original combination	Unambiguous synonym	urn:lsid:Psocodea.speciesfile.org:TaxonName:102
158665	1199076	Pachytroctes		enigmaticus	Badonnel, 1955				Junior synonym	Unambiguous synonym	urn:lsid:Psocodea.speciesfile.org:TaxonName:129
158667	1199076	Pachytroctes		dundoensis	Badonnel, 1955				Junior synonym	Unambiguous synonym	urn:lsid:Psocodea.speciesfile.org:TaxonName:131
158676	1199072	Pachytroctes	Neotroctes	achrosta	Thornton & A. K. T. Woo, 1973				Original combination	Unambiguous synonym	urn:lsid:Psocodea.speciesfile.org:TaxonName:140
158690	1199060	Tapinella		vittata		semicircularis	form	Garcia Aldrete, 1993	Junior synonym	Unambiguous synonym	urn:lsid:Psocodea.speciesfile.org:TaxonName:154
158702	1199050	Psacadium		pictum	Badonnel, 1986				Original combination	Unambiguous synonym	urn:lsid:Psocodea.speciesfile.org:TaxonName:166
