AcceptedTaxonID	DistributionElement	StandardInUse
1191910	Seychelles	text
1191911	Sri Lanka	text
1191912	Seychelles	text
1191913	Australia; Equatorial Guinea; Christmas Island; Indonesia; Polynesia	text
1191914	Australia	text
1191916	Seychelles	text
1191917	Seychelles	text
1191918	Seychelles	text
1191920	Aldabra Islands	text
1191921	New Zealand	text
1191922	Seychelles	text
1191924	New Zealand	text
1191926	Australia	text
1191927	Seychelles	text
1191928	Galapagos	text
1191929	Seychelles	text
1191931	Australia	text
1191932	Australia	text
1191933	Seychelles	text
1191934	Lord Howe Island	text
1191935	Brazil	text
1191936	Seychelles	text
1191937	Seychelles	text
1191938	Australia	text
1191940	Australia	text
1191941	Jamaica	text
1191942	Mexico	text
1191943	Brazil	text
1191944	Lord Howe Island	text
1191945	Jamaica	text
1191946	Jamaica	text
1191947	Jamaica	text
1191948	Chagos Archipelago	text
1191949	Mauritius	text
1191952	Polynesia	text
1191954	Christmas Island	text
1191956	Madagascar	text
1191957	Mexico	text
1191959	Jamaica	text
1191960	Reunion	text
1191961	Jamaica	text
1191962	Mexico	text
1191963	Madagascar	text
1191966	Mexico	text
1191967	Jamaica	text
1191968	Jamaica	text
1191969	Hawaii	text
1191970	Fiji	text
1191971	Mexico	text
1191974	Hawaii; Polynesia	text
1191975	Fiji	text
1191976	Fiji	text
1191977	Mauritius	text
1191978	Fiji	text
1191979	Melanesia; Polynesia	text
1191980	Tonga	text
1191981	Seychelles	text
1191982	Fiji	text
1191983	Samoa	text
1191984	Tonga	text
1191985	Galapagos; Hawaii; Melanesia; Polynesia	text
1191986	Hawaii; Polynesia	text
1191987	Fiji	text
1191988	Hawaii; Christmas Island; Indonesia; Fiji; Micronesia; Polynesia	text
1191989	Fiji	text
1191990	Singapore; Seychelles	text
1191991	Seychelles	text
1191992	Fiji	text
1191994	Fiji	text
1191995	Fiji	text
1191996	Guam; Micronesia; Christmas Island; Indonesia; Melanesia; Polynesia	text
1191997	Fiji; Indonesia; Polynesia	text
1191998	Fiji	text
1191999	Fiji	text
1192000	Fiji	text
1192001	Reunion	text
1192002	Tonga	text
1192003	Indonesia	text
1192004	Tonga	text
1192005	Tonga	text
1192006	Tonga	text
1192008	Hawaii; Melanesia; Polynesia	text
1192012	New Guinea	text
1192013	Australia	text
1192015	Jamaica; Lesser Antilles; USA; Mexico	text
1192016	Mexico	text
1192017	USA; Canada	text
1192018	Mexico	text
1192022	Norfolk Island	text
1192023	Mexico	text
1192024	Chile	text
1192025	Norfolk Island	text
1192026	France; Great Britain; Ireland; Madeira; USA; Argentina; Chile; Australia; New Zealand; :	text
1192030	Chatham Islands	text
1192031	Mexico	text
1192032	Norfolk Island	text
1192036	Sri Lanka	text
1192040	Great Britain; Iles Glorieuses; Reunion; India; :	text
1192041	Sri Lanka; China; Taiwan	text
1192043	Colombia	text
1192044	Norfolk Island	text
1192045	Aldabra Islands	text
1192046	Hawaii	text
1192051	Congo; USA	text
1192056	Seychelles; Madagascar	text
1192059	Ivory Coast	text
1192060	Germany; Belgium; Great Britain; Azores; Bermuda Islands; North America; USA; Mexico; Panama; Brazil; Paraguay; Angola; Congo; Ghana; Ivory Coast; Mascarene Islands; China; Malaysia; Taiwan; Australia; Pacific; Galapagos; Hawaii; :	text
1192063	Mexico	text
1192068	Congo; Angola; Equatorial Guinea; Ivory Coast; South Africa; Tanzania; India	text
1192069	USA; Mexico	text
1192070	Colombia	text
1192071	Mexico	text
1192072	Mexico	text
1192073	New Zealand	text
1192074	Jamaica	text
1192075	Great Britain; USA; Angola; Congo; Ghana; :	text
1192076	Kerguelen Islands; USA	text
1192078	Jamaica; Mexico	text
1192079	Mexico	text
1192080	Madagascar	text
1192081	USA	text
1192082	Equatorial Guinea	text
1192083	Mexico	text
1192084	Galapagos; Mexico	text
1192085	Micronesia; Christmas Island; Tonga	text
1192086	Great Britain	text
1192087	Togo	text
1192088	Peru	text
1192090	USA; Mexico	text
1192094	Lord Howe Island	text
1192098	MXS-CL	TDWG Level 4 code
1192101	Chile	text
1192102	Chile	text
1192109	Madeira	text
1192110	Tunisia; Israel	text
1192111	Mexico	text
1192112	Cyprus	text
1192113	Europe; Saint Helena; Austria; Belgium; Cyprus; Czechoslovakia; France; Germany; Great Britain; Greece; Israel; Italy; Luxembourg; Morocco; Netherlands; Norway; Poland; Portugal; Switzerland; USSR; Azores; Gough Island; Madeira; USA; Chile; Australia; Hawaii; :	text
1192116	Australia	text
1192117	Cape Verde Islands	text
1192118	Canary Islands	text
1192121	Mexico	text
1192122	Mexico	text
1192123	Canary Islands	text
1192124	Canary Islands	text
1192125	world wide	text
1192130	Cape Verde Islands; Azores	text
1192131	Canary Islands	text
1192134	Cape Verde Islands	text
1192135	Galapagos	text
1192136	Mexico	text
1192137	Canary Islands	text
1192139	Chile	text
1192140	Madeira	text
1192141	Ascension Island; Mexico	text
1192142	Madeira	text
1192143	Canary Islands	text
1192144	Galapagos	text
1192145	Canary Islands	text
1192147	Galapagos; Mexico	text
1192156	Angola; Tanzania; Zimbabwe	text
1192158	India	text
1192159	Europe; Iceland; Morocco; USSR; Azores; Canary Islands; Gough Island; Madeira; USA; Mexico; Congo; Guinea-bissau; Madagascar; Mozambique; Hong Kong; Japan; Taiwan; Australia; New Zealand; Subantarctic Islands Of New Zealand; :	text
1192166	South Africa	text
1192167	Angola	text
1192169	Great Britain; Austria; Belgium; Czechoslovakia; Egypt; Finland; France; Germany; Ireland; Italy; Luxembourg; Netherlands; Norway; Poland; Switzerland; USA; Argentina; South Africa; Australia; New Zealand; Norfolk Island; Subantarctic Islands Of New Zealand; :	text
1192171	Algeria; Armenia; Austria; Belgium; Cyprus; Czechoslovakia; Egypt; Finland; France; Germany; Great Britain; Greece; Hungary; Israel; Italy; Luxembourg; Morocco; Netherlands; Poland; Portugal; Romania; Spain; Switzerland; Turkey; USSR; Yugoslavia; Canary Islands; Canada; USA; Mexico; Chile; Angola; Congo; Mozambique; Afghanistan; Japan; Korea; Australia; New Zealand; Tasmania; Hawaii; :	text
1192173	Australia	text
1192174	Tasmania; Australia	text
1192176	Canary Islands	text
1192179	USA	text
1192181	Namibia	text
1192187	Kenya	text
1192188	Mexico	text
1192189	Norfolk Island; New Zealand	text
1192190	Angola	text
1192191	Madagascar	text
1192192	Europe; Cyprus; Egypt; Iceland; Israel; Morocco; Tunisia; USSR; Azores; Canary Islands; Madeira; Tristan Da Cunha; Canada; USA; Mexico; Tanzania; Crozet Islands; Kerguelen Islands; China; Japan; Taiwan; Australia; New Zealand; Subantarctic Islands Of New Zealand	text
1192196	Angola	text
1192197	Uae	text
1192240	Colombia	text
1192243	USA; Canada; Mexico	text
1192244	USA; Canada	text
1192245	India	text
1192246	France; Austria; Belgium; Bulgaria; Czechoslovakia; Finland; Germany; Great Britain; Greece; Hungary; Ireland; Italy; Luxembourg; Malta; Morocco; Netherlands; Norway; Poland; Portugal; Romania; Spain; Switzerland; Turkey; USSR; Yugoslavia; Azores; Madeira; :	text
1192249	Reunion	text
1192250	China	text
1192255	China	text
1192256	China	text
1192259	China	text
1192260	Bhutan	text
1192263	New Guinea	text
1192264	New Guinea	text
1192267	Angola	text
1192268	Malaysia	text
1192269	Malaysia	text
1192270	Malaysia	text
1192271	Gabon	text
1192272	Philippines	text
1192273	India	text
1192274	India; Indonesia; Malaysia	text
1192275	Sri Lanka	text
1192276	Malaysia	text
1192277	Equatorial Guinea	text
1192278	New Guinea	text
1192279	China	text
1192280	Malaysia	text
1192281	Sri Lanka	text
1192282	Sri Lanka	text
1192283	Singapore	text
1192284	Indonesia	text
1192285	Angola; Madagascar	text
1192286	Malaysia	text
1192287	New Guinea	text
1192288	Malaysia	text
1192289	Malaysia	text
1192290	Australia; New Guinea	text
1192291	Malaysia	text
1192292	Singapore	text
1192294	Borneo	text
1192295	Nigeria	text
1192296	Indonesia	text
1192297	Sri Lanka	text
1192298	Philippines	text
1192299	New Guinea	text
1192300	Singapore; Malaysia	text
1192301	Malaysia	text
1192302	Malaysia	text
1192303	Singapore; Malaysia	text
1192304	Madagascar	text
1192305	Madagascar	text
1192306	Sri Lanka	text
1192307	Thailand	text
1192308	Madagascar	text
1192309	Angola	text
1192314	Brazil	text
1192315	Tanzania	text
1192316	Argentina	text
1192317	Brazil	text
1192318	Brazil	text
1192321	Brazil	text
1192322	Bolivia	text
1192323	Peru	text
1192324	Brazil	text
1192325	Japan	text
1192326	Brazil	text
1192327	Brazil	text
1192328	Taiwan; China	text
1192329	Brazil	text
1192330	Brazil	text
1192331	New Guinea	text
1192332	Brazil	text
1192333	Peru	text
1192334	Peru	text
1192335	Brazil	text
1192336	Brazil	text
1192337	Guatemala; Mexico	text
1192338	Brazil	text
1192339	Indonesia	text
1192340	Brazil	text
1192341	Brazil	text
1192342	Brazil	text
1192343	Brazil	text
1192344	Brazil	text
1192345	Brazil	text
1192346	Indonesia	text
1192347	Brazil	text
1192356	Colombia	text
1192357	Colombia	text
1192358	Venezuela	text
1192359	Costa Rica	text
1192360	Bolivia	text
1192361	Brazil	text
1192362	Bolivia	text
1192363	Brazil	text
1192364	Brazil	text
1192365	Venezuela	text
1192402	China	text
1192403	Philippines; Indonesia	text
1192404	China	text
1192407	India	text
1192408	India	text
1192409	Nepal	text
1192410	China	text
1192412	Jamaica	text
1192413	Jamaica	text
1192414	Peru	text
1192415	Venezuela	text
1192416	Brazil; Peru	text
1192418	Brazil	text
1192420	Brazil; Peru	text
1192421	Jamaica	text
1192422	Brazil	text
1192423	Galapagos	text
1192424	Brazil	text
1192426	Brazil; Peru	text
1192427	Peru	text
1192428	Santo Domingo	text
1192429	Peru	text
1192430	Cuba	text
1192434	Brazil	text
1192435	Brazil; Peru	text
1192436	Brazil	text
1192437	Peru	text
1192438	Peru	text
1192439	Brazil	text
1192440	Brazil	text
1192441	Brazil	text
1192442	Brazil; Peru	text
1192443	Brazil	text
1192444	Peru	text
1192445	Peru	text
1192447	Venezuela	text
1192448	Venezuela	text
1192484	Peru	text
1192485	Brazil; Mexico; Peru	text
1192486	Brazil	text
1192487	Colombia	text
1192488	Brazil	text
1192489	Brazil	text
1192490	Brazil	text
1192491	Brazil	text
1192503	China	text
1192505	Trinidad	text
1192506	Brazil	text
1192507	Brazil	text
1192508	Brazil; Peru	text
1192509	Peru	text
1192510	Ecuador	text
1192511	Brazil	text
1192512	Brazil	text
1192513	Peru	text
1192514	Venezuela	text
1192515	Colombia	text
1192516	Trinidad	text
1192517	Brazil	text
1192518	Venezuela	text
1192519	French Guiana	text
1192520	Brazil	text
1192521	Brazil	text
1192522	Brazil	text
1192523	Mexico	text
1192524	Brazil	text
1192525	Brazil	text
1192527	Brazil	text
1192528	Brazil	text
1192529	Panama	text
1192530	Colombia	text
1192531	Brazil	text
1192532	Brazil	text
1192533	Brazil	text
1192534	Brazil	text
1192535	Brazil	text
1192539	Angola	text
1192540	Mexico	text
1192542	Panama	text
1192543	Brazil	text
1192544	Brazil	text
1192545	Brazil	text
1192546	Brazil	text
1192547	Mexico	text
1192548	Panama	text
1192549	Panama	text
1192550	Panama	text
1192551	Brazil	text
1192552	Peru	text
1192553	Panama	text
1192554	Angola	text
1192555	Brazil	text
1192560	Paraguay	text
1192561	Peru; Brazil	text
1192562	Brazil; Peru	text
1192563	Brazil	text
1192564	Peru	text
1192565	Peru	text
1192566	Brazil	text
1192567	Peru	text
1192570	Brazil	text
1192571	Bolivia	text
1192572	Brazil	text
1192573	Costa Rica	text
1192574	Peru	text
1192575	Mexico	text
1192576	Mexico	text
1192577	Bolivia	text
1192578	Guatemala; Mexico	text
1192588	Peru	text
1192590	Peru	text
1192593	Brazil	text
1192596	Brazil	text
1192597	Peru	text
1192598	Mexico	text
1192599	Brazil	text
1192600	Brazil	text
1192601	Peru	text
1192602	Belize	text
1192603	Belize	text
1192604	Bolivia	text
1192605	Colombia	text
1192606	Brazil	text
1192607	Brazil	text
1192608	Brazil	text
1192609	Brazil	text
1192610	Brazil	text
1192611	Costa Rica	text
1192612	Belize	text
