ReferenceID	Authors	Year	Title	Source
32038	Navas	1915	Notas entomologicas. 2a serie. 11. Excursiones por Cataluña. Julio de 1914.	Boletin de la Sociedad aragonesa de Ciencias naturales 14
32040	Navas	1915	Neuropteros nuevos o poco conocidos (quinta serie).	Memorias de la Real Academia de Ciencias y Artes de Barcelona 11(27)
32043	Navas	1916	Neuroptera nova africana. Ser. VII.	Memorie della Pontifica Accademia Romana dei Nuovi Lincei, ser. 2 2
32044	Navas	1916	Neuropteros nuevos de España (Segunda serie).	Revista de la Real Academia de Ciencias exactas, fisicas y naturales de Madrid 14
32045	Navas	1916	Neuropteros sudamericanos. Tercera serie.	Broteria, Serie Zoologica 14
32048	Navas	1917	Neuropteros nuevos o poco conocidos (Novena serie).	Memorias de la Real Academia de Ciencias y Artes de Barcelona 13(26)
32050	Navas	1917	Insecta nova. II Series.	Memorie della Pontifica Accademia Romana dei Nuovi Lincei, ser. 2 3
32054	Navas	1918	Algunos insectos Neuropteros de la Argentina. Serie 2a.	Physis 4
32057	Navas	1919	Mis excursiones cientificas del verano de 1919.	Memoria de la Real Academia de Ciencias y Artes de Barcelona 17
32059	Navas	1920	"Insectos sudamericanos (1a, 2a, y 3a series)."	Anales de la Sociedad cientifica Argentina 90
32060	Navas	1920	Insecta nova. VII series.	Memorie della Pontifica Accademia Romana dei Nuovi Lincei, ser. 2 5
32061	Navas	1920	Socopteros nuevos.	Boletin de la Sociedad Entomologica de España 4
32062	Navas	1922	Insectos de la Argentina y Chile.	Estudios, Buenos Aires 22((Mayo))
32063	Navas	1922	Algunos insectos de Chile.	Revista Chilena de Historia Natural 21
32065	Navas	1922	Insectos exoticos.	Broteria, Serie Zoologica 20
32066	Navas	1922	Estudis sobre Neuropters (Insectes).	Arxius de l'Instituto de Ciencias de Barcelona 7
32068	Navas	1923	Excursions entomologiques de l'Istiu de 1922.	Arxius de l'Institut de Ciencias, Barcelona 8
32069	Navas	1923	Insecta nova. X series.	Memorie della Pontifica Accademia Romana dei Nuovi Lincei 6
32072	Navas	1924	Excursio entomologica al Cabreres (Girona-Barcelona).	Trabajos del Museo de Ciencias naturales de Barcelona 4(10):1-59
32073	Navas	1924	Insectos de la America Central.	Broteria, Serie Zoologica 21
32074	Navas	1924	Mis excursiones entomologicas de verano de 1924.	Broteria, Serie Zoologica 21
32078	Navas	1924	Insecta orientalia. II Serie.	Memorie della Pontifica Accademia delle Scienze Nuovi Lincei 7
32079	Navas	1925	Insectos exoticos nuevos a poco conocidos.	Memorias de la Real Academia de Ciencias y Artes de Barcelona 19(5)
32080	Navas	1925	Neuropteren aus Brasilien.	Mitteilungen der Münchener Entomologischen Gesellschaft 15((1/5))
32084	Navas	1926	Algunos Insectos del Museo de Paris. 3a serie.	Broteria, Serie Zoologica 23(3)
32085	Navas	1927	Insetti raccolti nel Porto di Genova sulle Banane delle Canarie.	Bolletino della Società Entomologica Italiana 59
32086	Navas	1927	Comunicaciones entomologicas. 8. Socopteros del Museo de Hamburgo.	Revista de la Academia de Ciencias exactas, fisico-quimicas y naturales de Zaragoza 11
32087	Navas	1927	Insecta orientalia. Series 5.	Memorie della Pontifica Accademia delle Scienze Nuovi Lincei 10
32090	Navas	1928	Insectos de la Argentina. Cuarta serie.	Estudios, Buenos Aires 28
