AcceptedTaxonID	DistributionElement	StandardInUse	DistributionStatus	
114752	Kristineberg	Text		
114752	Sylt	Text		
114752	Helsingor	Text		
114752	Strangford Lough	Text		
114752	East North Atlantic	Text		
265660	New Zealand	Text		
265661	South Pacific	Text		
265662	Western South Pacific	Text		
114741	European waters (ERMS scope)	Text		
114741	Danish Exclusive Economic Zone	Text		
114741	Helsingor	Text		
114741	East North Atlantic	Text		
266003	Western South Pacific	Text		
266013	Caribbean Sea	Text		
266013	Gulf of Mexico	Text		
266026	West North Atlantic	Text		
266026	Western South Pacific	Text		
266026	Gulf of Mexico	Text		
266027	Western South Pacific	Text		
114732	Mediterranean Sea	Text		
114732	European waters (ERMS scope)	Text		
114732	Rovinj	Text		
114732	Dubrovnik	Text		
114732	Mediterranean Sea	Text		
266032	West North Atlantic	Text		
114740	European waters (ERMS scope)	Text		
114740	Danish Exclusive Economic Zone	Text		
114740	Helsingor	Text		
114740	East North Atlantic	Text		
266035	Caribbean Sea	Text		
266035	Gulf of Mexico	Text		
266036	West North Atlantic	Text		
266037	Western South Pacific	Text		
