AcceptedTaxonID	ParentSpeciesID	InfraSpeciesEpithet	InfraSpeciesAuthorString	InfraSpeciesMarker	GSDNameStatus	Sp2000NameStatus	IsExtinct	HasPreHolocene	HasModern	LifeZone	AdditionalData	LTSSpecialist	LTSDate	InfraSpeciesURL	GSDNameGUID
1179380	1182110	rufula	Bey-Bienko, 1967	Subspecies		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:182518	urn:lsid:Dermaptera.speciesfile.org:TaxonName:182518
1179639	1179766	brasiliensis	(Gray, 1832)	Subspecies		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:184242	urn:lsid:Dermaptera.speciesfile.org:TaxonName:184242
1179767	1179766	fuscata	Audinet-Serville, 1831	Subspecies		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:181474	urn:lsid:Dermaptera.speciesfile.org:TaxonName:181474
1179871	1179870	davidi	Burr, 1905	Subspecies		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:182190	urn:lsid:Dermaptera.speciesfile.org:TaxonName:182190
1179919	1179921	tenellus	(Haan, 1842)	Subspecies		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:182603	urn:lsid:Dermaptera.speciesfile.org:TaxonName:182603
1180034	1180033	fuscata	Brindle, 1972	Subspecies		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:185179	urn:lsid:Dermaptera.speciesfile.org:TaxonName:185179
1180035	1180033	clavata	Brindle, 1972	Subspecies		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:184371	urn:lsid:Dermaptera.speciesfile.org:TaxonName:184371
1180036	1180033	yapensis	Brindle, 1972	Subspecies		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:184521	urn:lsid:Dermaptera.speciesfile.org:TaxonName:184521
1180056	1180522	samsingensis	Srivastava, 1975	Subspecies		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:184826	urn:lsid:Dermaptera.speciesfile.org:TaxonName:184826
1180289	1180288	africana	(Brindle, 1968)	Subspecies		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:180626	urn:lsid:Dermaptera.speciesfile.org:TaxonName:180626
1180346	1180288	meridionalis	Brindle, 1970	Subspecies		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:183533	urn:lsid:Dermaptera.speciesfile.org:TaxonName:183533
1180347	1180288	sudanensis	Brindle, 1970	Subspecies		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:183680	urn:lsid:Dermaptera.speciesfile.org:TaxonName:183680
1180513	1180512	quelchi	de Bormans, 1900	Subspecies		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:183352	urn:lsid:Dermaptera.speciesfile.org:TaxonName:183352
1180516	1180515	decolyi	de Bormans, 1900	Subspecies		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:181252	urn:lsid:Dermaptera.speciesfile.org:TaxonName:181252
1180523	1180522	stella	(de Bormans, 1900)	Subspecies		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:184409	urn:lsid:Dermaptera.speciesfile.org:TaxonName:184409
1180538	1179870	externa	Bey-Bienko, 1959	Subspecies		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:185108	urn:lsid:Dermaptera.speciesfile.org:TaxonName:185108
1180693	1180692	felix	Burr, 1907	Subspecies		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:180620	urn:lsid:Dermaptera.speciesfile.org:TaxonName:180620
1180933	1180692	paradoxura	(Zacher, 1911)	Subspecies		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:182940	urn:lsid:Dermaptera.speciesfile.org:TaxonName:182940
