ReferenceID	Authors	Year	Title	Source
22593	Anisyutkin	1995	A new species of Diplatyidae (Dermaptera) from Equatorial Africa	Zoologichesky Zhurnal 74(5):31-34
22612	Brindle	1972	Insects of Micronesia. Dermaptera	Insects Micronesia 5(2):97-171
22629	Burr	1911	A revision of the Genus Diplatys, Serv. (Dermaptera)	Transactions of the Royal Entomological Society of London (Trans. R. Entomol. Soc. Lond. ) 59:21-47
22644	Rodzianko	1897	Forficulidarum species novas	Wiener entomologische Zeitung 16:153-154
22647	Fabricius	1798	Supplementum entomologiae systematicae	 1-572
22664	Borelli	1915	Dermatteri delle Isole Filippine Nota II	Bollettino dei Musei di Zoologia ed Anatomia Comparata della R. Universita di Torino 30(705):1-7
22670	Engel & Chatzimanolis	2005	Early Cretaceous earwigs (Dermaptera) from the Sanatana Formation, Brazil	Polskie Pismo Entomologiczne 74:219-226
22683	Erichson	1842	Beitrag zur Insecten-Fauna von Vandiemensland, mit besonderer Berücksichtigung der geographischen Verbreitung der Insecten	Archiv für Naturgeschichte (Arch. Naturgesch. ) 8(1):83-287
22684	Fernando	1961	New Species of Insects from Ceylon	CEYLON JOURNAL OF SCIENCE BIOLOGICAL SCIENCES 4:41-44
22685	Gerstaecker	1869	Beitrag zur Insektenfauna von Zanzibar. No. 2. Orthoptera and Neuroptera	Archiv für Naturgeschichte (Arch. Naturgesch. ) 25:201-223
22688	Hincks	1940	Dermaptera (earwigs) from Hainan Island	Notes d‘entomologie chinoise 8:29-40
22714	Rochenberg	1883		Maturna 7(7):175
22716	de Bormans	1883	Étude sur quelques Forticulaires nouveaux ou peu connus, precédé d''un Tableau synoptique des genres de cette famille	Annales de la Societe entomologique de Belgique 27:um 187
22718	Burr	1914		Records of the Indian Museum (Rec. Ind. Mus. ) 10:um 284
22719	Wollaston	1858		Annals and Magazine of Natural History Series 3(Volume 1):um 20
23188	Engel	2003	The earwigs of Kansas, with a key to genera north of Mexico (Insecta: Dermaptera)	Transactions of the Kansas Academy of Science 106:115-123
23220	Engel & DA Grimaldi	2004	A primitive Earwig in Cretaceous Amber from Myanmar (Dermaptera: Pygidicranidae)	Journal of Palaeontology 78(5):1018-1023
23255	Hincks	1957	Description of genus Nesolabis. pp. 53-56 in Chopard, L. La faune entomologique de l''Ile de la Réunion. I. Orthoptéroïdes	Mémoires de l‘institut scientifique de Madagascar. Série E 8:53-56
23262	Kamimura	2004	Mating behaviour and insemination in Diplatys flavicollis, an earwig with double-barrelled penises and a variable number of female sperm-storage organs	Journal of zoology (J. Zool. Lond. ) 262(1 Jan 2004):37-46
23277	Brindle	1968	Dermaptera from Venezuela	Acta Biologica Venezuelica (Acta Biol. Venezuela) 6(1):82-98
23278	Herrich-Schäffer	1840	Nomenclator Entomologicus. Verzeichnis der europäischen Insecten, zur Erleichterung des Tauschverkehrs mit Preisen versehen. Heft 2 Coleoptera, Orthoptera, Dermaptotera, Hymenoptera. 40 und 244 p 8 Tafeln	 2:40 and 244
23335	Hincks	1947	Dermaptera from the New Hebrides and Lord Howe I	Entomologist's Monthly Magazine (Entomologist's mon. Mag. ) 83:65-67
23350	Hanney	1963	A new species of Hemimerus (Dermaptera) from Nyasaland and its association with the genus Beamys Thomas	Proceedings of the Entomological Society London 32:38-40
23371	Burr	1913	Indian Dermaptera collected by Dr. AD Imms	Journal and Proceedings of the Asiatic Society of Bengal NS 9(5):183-187
23414	Hincks	1958	Some notes on Parisolabinae (Dermaptera)	EOS Revista Española de Entomologia 34:131-134
23468	Burr	1908	Notes on the Forficularia. - XI. On new and little known Species and Synonymic Note	Annals and Magazine of Natural History Series 8(Volume 1):47-51
23595	Kapoor	1974	On two new species of earwig (Dermaptera) and a new record of Diplatys chinensis Hincks from India.	Zoological Journal of the Linnean Society (Zool. J. Linn. Soc. ) 55:241-246
23609	Rehn, JAG	1901	The Forficulidae, Blattidae, Mantidae and Phasmidae collected in Northeast Africa by Dr. A Donaldson Smith	Proceedings of the Academy of Natural Sciences of Philadelphia (Proc. Acad. Nat. Sci. Philadelphia)(April):273-
23618	Karsch, F	1885	Pygidicrana Finschi nov. spec. eien neue Forficulidea Nordaustarliens	Entomologische Nachrichten (Entomologische Nachrichten ) 11:322-323
23619	Karsch, F	1885	Eine neue Forficulide Madagascars	Entomologische Nachrichten (Entomologische Nachrichten ) 11:323-324
23642	Rambur	1838	Faune Entomologique de l’Andalusie. Troisieme Ordre des Insectes. Dermaptera	 17-69
23676	Motschulsky	1859	Catalogue des insectes rapportes des environs du fleuve Amour, depuis la Schilka jusqu''a Nikolaevsk, examines et enumerees	Bulletin de la Société imperiale des Naturalistes 32:487-499
23677	Burr	1912	A new species of Arixenia (Dermaptera)	Entomologist's Monthly Magazine (Entomologist's mon. Mag. ) 48:105-106
23681	Bey-Bienko	1967	Some Orthopteroid insects of the orders Blattoptera, Orthoptera and Dermaptera from Afghanistan	Acta entomologica bohemoslovaca 64(6):407-438
23682	Menozzi	1930	Quelques Dermaptères de Libéria et du Congo Belge	Rev. Zool. Bot. Afr.  XIX,1:95-98
23684	Semenov Tian-Shansky & Bey-Bienko	1935	Les Dermaptères du Tibet	EOS Revista Española de Entomologia 10:221-232
23689	Semenov	1901	Anechura Scudd.  Forficula (L.) Scudd. (Orthoptera, Forficulidae)	Horae Societatis Entomologicae Rossicae (Horae Soc Ent Ross) XXXV:185-201
23698	Meinert	1868	Om dobbelte Saedgange hos Insekten, fortsatte Bidrag til Forficulernes Anatomi	Naturhistorisk Tidskrift 3:278-294
23757	Herbst	1786	Verzeichnis meiner Insektensammlung	Arch Insektengesch Zürich 7-8
23776	Kapoor, Bharadwaj & Banerjee	1971	Some new species of Dermaptera from India	Bull Entomol Soc India 12(1):28-40
23778	Karny	1911	Ein interessanter Ohrwurm aus Bosnien	Entomologische Rundschau 28:159-160
23787	Kolenati	1846	Insecta Caucasi. Dermaptera	Malet Entomol 5:69-79
23832	Costa, OG	1839	Degl''Insetti nuovi e rari della provincia di Terra d''Otranto	Journ Econ Biol 4:50-51
23848	Dohrn	1859	Beitrag zur Kenntnis Europäischer Forficulinen	Stettiner Entomologische Zeitung 20:105-107
23867	Finot	1887	Nouvelle espece francaise d''Orthopteres. Description de Forficula lesnei	Bull Soc Entomol France 7:189-190
23868	Finot	1893	Quatre especes nouvelles d''Orthopteres	Bull Soc Entomol France 62:28-30
23873	Burr	1906	Dermapteros de la Guinea espanola	Mem R Soc Esp Hist Nat 1:293-295
23874	Burr	1907	Dermaptera	Sjöstedts Kilimanjaro-Meru Expedition No 17 Uppsala 17:12 pp
23876	Burr	1913	Zoological results of the Abor Expedition, 1911-1912. X. Dermaptera	Records of the Indian Museum (Rec. Ind. Mus. ) 8(2):135-147
23900	Chopard	1937	Les Dermapteres et Orthopteres de Madere	Rev franc Entomol Paris 4:219-239
23901	Chopard	1942	Insectes orthopteroides (Blattidae, Mantidae, Gryllidae, Phasmidae, Dermaptera) recoltes dans les iles atlantiques	Soc Sci Fenn Comm Biol 8(4):1-13
23906	Bolivar	1899	Anataelia, genero nuevo de forficulido de las Islas Canarias	Actas Soc Esp Hist Nat 8:97-99
23909	de Bormans	1883	Six forficulaires nouveaux de Sumatra	Notes from the Leyden Museum 6:183-196
23936	Brulle	1838	Orthopteres	Histoire naturelle des Iles Canaries 2(2):74-78
23950	Baijal & S Singh	1954	Entomological survey of the Himalayas. Part III. On a collection of Dermaptera	Agra Univ J Res (Sci) 3:455-462
23968	Bharadwaj & Kapoor	1967	Some South American Dermaptera	Bull Entomol 8(1):67-69
23973	Bolivar	1893	Viaje de M. Ch. Alluaud á las islas Canarias	Actas Soc Esp Hist Nat 22:45-53
23974	Bolivar	1893	Liste des Orthopteres recueillis en Syrie par le Dr. Theod. Barrois	Revue Biologique du Nord de la France 5:476-489
23977	Srivastava	1974	On a New Species of the Genus Diplatys Serville, 1831 (Dermaptera, Diplatyidae) from India	Ceylon J Sci (Biol Sci) 11(1):9-11
23978	Srivastava	1974	Notes on the genus Aborolabis Srivastava (Ins Dermaptera, Carcinophoridae) with descriptions of a new species	Journal of the Zoological Society of India (J. Zool. Soc. India) 26(1-2):57-61
23979	Srivastava	1975	On a new species of Dermaptera from Ceylon	EOS Revista Española de Entomologia 49:281-284
23980	Srivastava & Saha	1975	Notes on a Collection of Dermaptera from Darjeeling Distr. (India) with the Description of a New Species	Ceylon J Sci (Bio Sci) 11(2):59-69
23981	Srivastava	1976	Studies on the Dermaptera of the Philippines	Pacific Insects (Pacif. Insects. ) 17(1):99-138
23982	Srivastava	1977	Indian species of Euborellia and Liparura (Dermaptera) with descriptions of six new species	ORIENTAL INSECTS 11(2):181-194
23983	Srivastava	1978	On a new species of the genus Irdex Burr (Dermaptera, Labiidae) from New Guinea	Annali del Museo Civico di Storia Naturale di Genova 82:136-140
23984	Srivastava	1978	On a new species of the genus Isolabis Verhoeff (Dermaptera, Brachylabinae) from Burma with a key to oriental species	Annali del Museo Civico di Storia Naturale di Genova 82:323-328
23985	Srivastava	1979	A new species of Cranopygia (Dermaptera, Pygidicranidae) from India	Entomologist's Monthly Magazine (Entomologist's mon. Mag. ) 115:73-76
23986	Stal	1855	Entomologiska Notiser. Forficulariae fran Cafferlandet	Oefv kongl Vet Acad Foerh 12:347-355
23989	Steinmann	1974	Vandex fantasticus sp. n. (Dermaptera: Labiidae) from Ghana	Acta zool hung 20:425-428
23990	Steinmann	1974	Blandex africanus sp.n. from South Africa (Dermaptera, Pygidicranidae)	ANNALES HISTORICO-NATURALES MUSEI NATIONALIS HUNGARICI 66:149-150
23991	Steinmann	1974	A revision of the Dermaptera in the "A. Koenig" Museum, Bonn	Folia entomologica Hungarica 27:187-204
23992	Steinmann	1975	Brindleiana atlas gen. et sp. N. from SE Asia and Taxonomical Notes on Allodahlinae (Dermaptera, Forficulidae)	ANNALES HISTORICO-NATURALES MUSEI NATIONALIS HUNGARICI 67:71-76
23997	Steinmann	1977	Apachyus baloghi sp.n. (Dermaptera, Apachyidae) from Brazzaville-Congo	Opusc zool Budapest 13:79-82
23999	Steinmann	1979	A new species of earwig (Dermaptera, Labiidae) from Venezuela	Entomologist's Monthly Magazine (Entomologist's mon. Mag. ) 115:9-10
24004	Taglianti	1974	Studi sui Dermatteri. 2. Una nuova Forficula del Medio Oriente	Fragmenta Entomologica (Fragm. Entomol. ) 10(1):53-60
24005	Tillyard	1926	Dermaptera	Insects of Australia and New Zealand 107-112
24007	Wenbao	1985	A new species of the genus Diplatys from Zhejiang (Dermaptera, Pygidicranidae)	Entomotaxonomia 7(1):49-50
24008	Westwood	1837	Forficule	Magasin de Zoologie 7:178
24009	White, A	1846	Zoology of voyage of H.M.S. Erebus under the command of Cap. Sir James C. Ross during the years 1839 to 1843	
24032	Sakai, S	1973	VII. Forficulidae	Dermapterorum Catalogus Praeliminaris 357 pp
24035	Scudder	1869	Notes on the Orthoptera collected by Prof. James Orton on either side of the Andes of Equatorial South America	Proceedings of the Boston Society of Natural History 12:330-345
24036	Scudder	1876	A Century of Orthoptera. Decade V. Forficulariae (North America)	Proceedings of the Boston Society of Natural History 18:251-257
24037	Scudder	1876	A Century of Orthoptera. Decade VI. Forficulariae (North America)	Proceedings of the Boston Society of Natural History 18:257-264
24038	Scudder	1876	Description of three species of Labia from the Southern United States	Proceedings of the Boston Society of Natural History 18:265-268
24039	Scudder	1893	The Orthoptera of the Galapagos Islands	Bull Mus Comp Zool Harvard 25:1-25
24042	Shiraki	1907	Neue Blattiden und Forficuliden Japans	Trans Sapporo nat Hist Soc 2:103-111
24046	Srivastava	1969	On a new species of Dermaptera from India	Entomologist's Record 81:205-208
24047	Srivastava	1970	On a new species of the Genus Epilabis Burr, 1915  (Dermaptera) from India	Ceylon J Sci (Bio Sci) 8(2):46-48
24048	Srivastava	1969	Notes on a Collection of Dermaptera from India	EOS Revista Española de Entomologia 45:319-333
24050	Srivastava	1972	Notes on a collection of Dermaptera from N.E.F.A. India	Records of the Zoological Survey of India (Rec. zool. Surv. India) 66(1-4):129-142
24051	Rehn, JAG	1921	Studies in Costa Rica Dermaptera and Orthoptera	Transactions of the American Entomological Society (Trans. Am. Entomol. Soc. ) 47:307-318
24052	Rehn, JAG	1933	Wissenschaftliche Ergebnisse der schwedischen entomologischen Reisen des Herrn Dr. A. Roman in Amazonas 1914-1915, und 1923-1924	Arkiv för zoologi (Ark. Zool. ) 24A(11):1-79
24054	Rehn, JAG & Hebard	1914	United States and Mexico records of species of the genus Doru (Dermaptera, Forficulidae)	Jl NY ent Soc 22:89-96
