AcceptedTaxonID	Order	Superfamily	Family	Genus	SubgenusName	SpeciesEpithet	AuthorString	GSDNameStatus	Sp2000NameStatus	IsExtinct	HasPreHolocene	HasModern	LifeZone	AdditionalData	LTSSpecialist	LTSDate	SpeciesURL	GSDNameGUID
1179327	Dermaptera	Forficuloidea	Spongiphoridae	Chaetolabia		spicata	Brindle, 1972		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:182878	urn:lsid:Dermaptera.speciesfile.org:TaxonName:182878
1179328	Dermaptera	Forficuloidea	Spongiphoridae	Chaetospania		nigritula	Brindle, 1972		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:184592	urn:lsid:Dermaptera.speciesfile.org:TaxonName:184592
1179329	Dermaptera	Anisolabidoidea	Anisolabididae	Anisolabis		minutissima	Brindle, 1972		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:182702	urn:lsid:Dermaptera.speciesfile.org:TaxonName:182702
1179330	Dermaptera	Pygidicranoidea	Diplatyidae	Diplatys	Neodiplatys	annandalei	Burr, 1911		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:182767	urn:lsid:Dermaptera.speciesfile.org:TaxonName:182767
1179331	Dermaptera	Pygidicranoidea	Diplatyidae	Diplatys	Syndiplatys	griffithsi	Burr, 1911		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:183427	urn:lsid:Dermaptera.speciesfile.org:TaxonName:183427
1179332	Dermaptera	Pygidicranoidea	Diplatyidae	Diplatys	Syndiplatys	jacobsoni	Burr, 1911		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:182516	urn:lsid:Dermaptera.speciesfile.org:TaxonName:182516
1179333	Dermaptera	Pygidicranoidea	Diplatyidae	Diplatys	Diplatys	dohrni	Burr, 1911		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:182951	urn:lsid:Dermaptera.speciesfile.org:TaxonName:182951
1179334	Dermaptera	Pygidicranoidea	Diplatyidae	Diplatys	Diplatys	fella	Burr, 1911		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:182953	urn:lsid:Dermaptera.speciesfile.org:TaxonName:182953
1179335	Dermaptera	Pygidicranoidea	Pygidicranidae	Echinosoma		bolivari	Rodzianko, 1897		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:181127	urn:lsid:Dermaptera.speciesfile.org:TaxonName:181127
1179337	Dermaptera	Labiduroidea	Labiduridae	Labidura		herculeana	(Fabricius, 1798)		Accepted name	False	False	True	terrestrial		Heidi Hopkins	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Dermaptera.speciesfile.org:TaxonName:183014	urn:lsid:Dermaptera.speciesfile.org:TaxonName:183014
