record_id	hierarchy_code	kingdom	phylum	class	order	family	superfamily	database_id	family_code
15942	Plantae-Tracheophyta--Ranunculales-Pteridophyllaceae	Plantae	Tracheophyta		Ranunculales	Pteridophyllaceae		141	wp-187.0000
15945	Plantae-Tracheophyta--Ranunculales-Papaveraceae	Plantae	Tracheophyta		Ranunculales	Papaveraceae		141	wp-188.0000
17313	Plantae-Tracheophyta--Proteales-Sabiaceae	Plantae	Tracheophyta		Proteales	Sabiaceae		141	wp-189.0000
17521	Plantae-Tracheophyta--Proteales-Platanaceae	Plantae	Tracheophyta		Proteales	Platanaceae		141	wp-191.0000
17533	Plantae-Tracheophyta--Proteales-Proteaceae	Plantae	Tracheophyta		Proteales	Proteaceae		141	wp-192.0000
19966	Plantae-Tracheophyta--Trochodendrales-Trochodendraceae	Plantae	Tracheophyta		Trochodendrales	Trochodendraceae		141	wp-193.0000
19972	Plantae-Tracheophyta--Buxales-Didymelaceae	Plantae	Tracheophyta		Buxales	Didymelaceae		141	wp-194.0000
19977	Plantae-Tracheophyta--Buxales-Buxaceae	Plantae	Tracheophyta		Buxales	Buxaceae		141	wp-195.0000
20153	Plantae-Tracheophyta--Gunnerales-Gunneraceae	Plantae	Tracheophyta		Gunnerales	Gunneraceae		141	wp-196.0000
20226	Plantae-Tracheophyta--Gunnerales-Myrothamnaceae	Plantae	Tracheophyta		Gunnerales	Myrothamnaceae		141	wp-197.0000
20231	Plantae-Tracheophyta--Dilleniales-Dilleniaceae	Plantae	Tracheophyta		Dilleniales	Dilleniaceae		141	wp-198.0000
20873	Plantae-Tracheophyta--Peridiscales-Peridiscaceae	Plantae	Tracheophyta		Peridiscales	Peridiscaceae		141	wp-199.0000
20890	Plantae-Tracheophyta--Hamamelidales-Paeoniaceae	Plantae	Tracheophyta		Hamamelidales	Paeoniaceae		141	wp-200.0000
20973	Plantae-Tracheophyta--Hamamelidales-Altingiaceae	Plantae	Tracheophyta		Hamamelidales	Altingiaceae		141	wp-201.0000
20991	Plantae-Tracheophyta--Hamamelidales-Hamamelidaceae	Plantae	Tracheophyta		Hamamelidales	Hamamelidaceae		141	wp-202.0000
21141	Plantae-Tracheophyta--Hamamelidales-Cercidiphyllaceae	Plantae	Tracheophyta		Hamamelidales	Cercidiphyllaceae		141	wp-203.0000
21145	Plantae-Tracheophyta--Hamamelidales-Daphniphyllaceae	Plantae	Tracheophyta		Hamamelidales	Daphniphyllaceae		141	wp-204.0000
21184	Plantae-Tracheophyta--Saxifragales-Crassulaceae	Plantae	Tracheophyta		Saxifragales	Crassulaceae		141	wp-205.0000
23310	Plantae-Tracheophyta--Saxifragales-Aphanopetalaceae	Plantae	Tracheophyta		Saxifragales	Aphanopetalaceae		141	wp-206.0000
23314	Plantae-Tracheophyta--Saxifragales-Tetracarpaeaceae	Plantae	Tracheophyta		Saxifragales	Tetracarpaeaceae		141	wp-207.0000
23317	Plantae-Tracheophyta--Saxifragales-Haloragaceae	Plantae	Tracheophyta		Saxifragales	Haloragaceae		141	wp-209.0000
23524	Plantae-Tracheophyta--Saxifragales-Iteaceae	Plantae	Tracheophyta		Saxifragales	Iteaceae		141	wp-210.0000
23553	Plantae-Tracheophyta--Saxifragales-Grossulariaceae	Plantae	Tracheophyta		Saxifragales	Grossulariaceae		141	wp-211.0000
23823	Plantae-Tracheophyta--Saxifragales-Saxifragaceae	Plantae	Tracheophyta		Saxifragales	Saxifragaceae		141	wp-212.0000
25019	Plantae-Tracheophyta--Cynomoriales-Cynomoriaceae	Plantae	Tracheophyta		Cynomoriales	Cynomoriaceae		141	wp-213.0000
25025	Plantae-Tracheophyta--Vitales-Vitaceae	Plantae	Tracheophyta		Vitales	Vitaceae		141	wp-214.0000
26177	Plantae-Tracheophyta--Zygophyllales-Krameriaceae	Plantae	Tracheophyta		Zygophyllales	Krameriaceae		141	wp-215.0000
26196	Plantae-Tracheophyta--Zygophyllales-Zygophyllaceae	Plantae	Tracheophyta		Zygophyllales	Zygophyllaceae		141	wp-216.0000
26578	Plantae-Tracheophyta--Celastrales-Lepidobotryaceae	Plantae	Tracheophyta		Celastrales	Lepidobotryaceae		141	wp-217.0000
26583	Plantae-Tracheophyta--Celastrales-Parnassiaceae	Plantae	Tracheophyta		Celastrales	Parnassiaceae		141	wp-218.0000
26685	Plantae-Tracheophyta--Celastrales-Celastraceae	Plantae	Tracheophyta		Celastrales	Celastraceae		141	wp-219.0000
28188	Plantae-Tracheophyta--Oxalidales-Huaceae	Plantae	Tracheophyta		Oxalidales	Huaceae		141	wp-220.0000
28195	Plantae-Tracheophyta--Oxalidales-Connaraceae	Plantae	Tracheophyta		Oxalidales	Connaraceae		141	wp-221.0000
28490	Plantae-Tracheophyta--Oxalidales-Oxalidaceae	Plantae	Tracheophyta		Oxalidales	Oxalidaceae		141	wp-222.0000
29256	Plantae-Tracheophyta--Oxalidales-Cunoniaceae	Plantae	Tracheophyta		Oxalidales	Cunoniaceae		141	wp-223.0000
29640	Plantae-Tracheophyta--Oxalidales-Elaeocarpaceae	Plantae	Tracheophyta		Oxalidales	Elaeocarpaceae		141	wp-224.0000
30573	Plantae-Tracheophyta--Oxalidales-Brunelliaceae	Plantae	Tracheophyta		Oxalidales	Brunelliaceae		141	wp-225.0000
30642	Plantae-Tracheophyta--Oxalidales-Cephalotaceae	Plantae	Tracheophyta		Oxalidales	Cephalotaceae		141	wp-226.0000
30646	Plantae-Tracheophyta--Malpighiales-Rafflesiaceae	Plantae	Tracheophyta		Malpighiales	Rafflesiaceae		141	wp-228.0000
30689	Plantae-Tracheophyta--Malpighiales-Linaceae	Plantae	Tracheophyta		Malpighiales	Linaceae		141	wp-229.0000
31084	Plantae-Tracheophyta--Malpighiales-Ixonanthaceae	Plantae	Tracheophyta		Malpighiales	Ixonanthaceae		141	wp-230.0000
31115	Plantae-Tracheophyta--Malpighiales-Salicaceae	Plantae	Tracheophyta		Malpighiales	Salicaceae		141	wp-231.0000
33050	Plantae-Tracheophyta--Malpighiales-Lacistemataceae	Plantae	Tracheophyta		Malpighiales	Lacistemataceae		141	wp-232.0000
33069	Plantae-Tracheophyta--Malpighiales-Passifloraceae	Plantae	Tracheophyta		Malpighiales	Passifloraceae		141	wp-233.0000
33920	Plantae-Tracheophyta--Malpighiales-Turneraceae	Plantae	Tracheophyta		Malpighiales	Turneraceae		141	wp-234.0000
34209	Plantae-Tracheophyta--Malpighiales-Malesherbiaceae	Plantae	Tracheophyta		Malpighiales	Malesherbiaceae		141	wp-235.0000
34249	Plantae-Tracheophyta--Malpighiales-Violaceae	Plantae	Tracheophyta		Malpighiales	Violaceae		141	wp-236.0000
35794	Plantae-Tracheophyta--Malpighiales-Goupiaceae	Plantae	Tracheophyta		Malpighiales	Goupiaceae		141	wp-237.0000
35797	Plantae-Tracheophyta--Malpighiales-Achariaceae	Plantae	Tracheophyta		Malpighiales	Achariaceae		141	wp-238.0000
36013	Plantae-Tracheophyta--Malpighiales-Humiriaceae	Plantae	Tracheophyta		Malpighiales	Humiriaceae		141	wp-239.0000
36109	Plantae-Tracheophyta--Malpighiales-Hypericaceae	Plantae	Tracheophyta		Malpighiales	Hypericaceae		141	wp-240.0000
36931	Plantae-Tracheophyta--Malpighiales-Podostemaceae	Plantae	Tracheophyta		Malpighiales	Podostemaceae		141	wp-241.0000
37341	Plantae-Tracheophyta--Malpighiales-Calophyllaceae	Plantae	Tracheophyta		Malpighiales	Calophyllaceae		141	wp-242.0000
37824	Plantae-Tracheophyta--Malpighiales-Clusiaceae	Plantae	Tracheophyta		Malpighiales	Clusiaceae		141	wp-243.0000
38735	Plantae-Tracheophyta--Malpighiales-Bonnetiaceae	Plantae	Tracheophyta		Malpighiales	Bonnetiaceae		141	wp-244.0000
38775	Plantae-Tracheophyta--Malpighiales-Ochnaceae	Plantae	Tracheophyta		Malpighiales	Ochnaceae		141	wp-245.0000
39428	Plantae-Tracheophyta--Malpighiales-Quiinaceae	Plantae	Tracheophyta		Malpighiales	Quiinaceae		141	wp-246.0000
39491	Plantae-Tracheophyta--Malpighiales-Medusagynaceae	Plantae	Tracheophyta		Malpighiales	Medusagynaceae		141	wp-247.0000
39494	Plantae-Tracheophyta--Malpighiales-Rhizophoraceae	Plantae	Tracheophyta		Malpighiales	Rhizophoraceae		141	wp-248.0000
39670	Plantae-Tracheophyta--Malpighiales-Erythroxylaceae	Plantae	Tracheophyta		Malpighiales	Erythroxylaceae		141	wp-249.0000
39957	Plantae-Tracheophyta--Malpighiales-Ctenolophonaceae	Plantae	Tracheophyta		Malpighiales	Ctenolophonaceae		141	wp-250.0000
39961	Plantae-Tracheophyta--Malpighiales-Euphroniaceae	Plantae	Tracheophyta		Malpighiales	Euphroniaceae		141	wp-254.0000
39966	Plantae-Tracheophyta--Malpighiales-Dichapetalaceae	Plantae	Tracheophyta		Malpighiales	Dichapetalaceae		141	wp-255.0000
40196	Plantae-Tracheophyta--Malpighiales-Trigoniaceae	Plantae	Tracheophyta		Malpighiales	Trigoniaceae		141	wp-256.0000
40243	Plantae-Tracheophyta--Malpighiales-Balanopaceae	Plantae	Tracheophyta		Malpighiales	Balanopaceae		141	wp-257.0000
40254	Plantae-Tracheophyta--Malpighiales-Malpighiaceae	Plantae	Tracheophyta		Malpighiales	Malpighiaceae		141	wp-258.0000
41810	Plantae-Tracheophyta--Malpighiales-Elatinaceae	Plantae	Tracheophyta		Malpighiales	Elatinaceae		141	wp-259.0000
41869	Plantae-Tracheophyta--Fabales-Quillajaceae	Plantae	Tracheophyta		Fabales	Quillajaceae		141	wp-264.0000
41873	Plantae-Tracheophyta--Fabales-Fabaceae	Plantae	Tracheophyta		Fabales	Fabaceae		141	wp-265.0000
46135	Plantae-Tracheophyta--Fabales-Surianaceae	Plantae	Tracheophyta		Fabales	Surianaceae		141	wp-266.0000
46153	Plantae-Tracheophyta--Fabales-Polygalaceae	Plantae	Tracheophyta		Fabales	Polygalaceae		141	wp-267.0000
47663	Plantae-Tracheophyta--Rosales-Rosaceae	Plantae	Tracheophyta		Rosales	Rosaceae		141	wp-268.0000
54436	Plantae-Tracheophyta--Rhamnales-Barbeyaceae	Plantae	Tracheophyta		Rhamnales	Barbeyaceae		141	wp-269.0000
54439	Plantae-Tracheophyta--Rhamnales-Dirachmaceae	Plantae	Tracheophyta		Rhamnales	Dirachmaceae		141	wp-270.0000
54443	Plantae-Tracheophyta--Rhamnales-Rhamnaceae	Plantae	Tracheophyta		Rhamnales	Rhamnaceae		141	wp-271.0000
55983	Plantae-Tracheophyta--Rhamnales-Elaeagnaceae	Plantae	Tracheophyta		Rhamnales	Elaeagnaceae		141	wp-272.0000
56128	Plantae-Tracheophyta--Urticales-Ulmaceae	Plantae	Tracheophyta		Urticales	Ulmaceae		141	wp-273.0000
56203	Plantae-Tracheophyta--Urticales-Cannabaceae	Plantae	Tracheophyta		Urticales	Cannabaceae		141	wp-274.0000
56351	Plantae-Tracheophyta--Urticales-Moraceae	Plantae	Tracheophyta		Urticales	Moraceae		141	wp-275.0000
57920	Plantae-Tracheophyta--Urticales-Urticaceae	Plantae	Tracheophyta		Urticales	Urticaceae		141	wp-276.0000
60242	Plantae-Tracheophyta--Cucurbitales-Anisophylleaceae	Plantae	Tracheophyta		Cucurbitales	Anisophylleaceae		141	wp-277.0000
60305	Plantae-Tracheophyta--Cucurbitales-Corynocarpaceae	Plantae	Tracheophyta		Cucurbitales	Corynocarpaceae		141	wp-278.0000
60314	Plantae-Tracheophyta--Cucurbitales-Coriariaceae	Plantae	Tracheophyta		Cucurbitales	Coriariaceae		141	wp-279.0000
60333	Plantae-Tracheophyta--Cucurbitales-Cucurbitaceae	Plantae	Tracheophyta		Cucurbitales	Cucurbitaceae		141	wp-280.0000
61670	Plantae-Tracheophyta--Cucurbitales-Tetramelaceae	Plantae	Tracheophyta		Cucurbitales	Tetramelaceae		141	wp-281.0000
61675	Plantae-Tracheophyta--Cucurbitales-Apodanthaceae	Plantae	Tracheophyta		Cucurbitales	Apodanthaceae		141	wp-284.0000
61708	Plantae-Tracheophyta--Cucurbitales-Myricaceae	Plantae	Tracheophyta		Cucurbitales	Myricaceae		141	wp-287.0000
61770	Plantae-Tracheophyta--Cucurbitales-Juglandaceae	Plantae	Tracheophyta		Cucurbitales	Juglandaceae		141	wp-288.0000
61887	Plantae-Tracheophyta--Geraniales-Hypseocharitaceae	Plantae	Tracheophyta		Geraniales	Hypseocharitaceae		141	wp-293.0000
61895	Plantae-Tracheophyta--Geraniales-Geraniaceae	Plantae	Tracheophyta		Geraniales	Geraniaceae		141	wp-294.0000
62423	Plantae-Tracheophyta--Geraniales-Melianthaceae	Plantae	Tracheophyta		Geraniales	Melianthaceae		141	wp-295.0000
62464	Plantae-Tracheophyta--Geraniales-Francoaceae	Plantae	Tracheophyta		Geraniales	Francoaceae		141	wp-296.0000
62471	Plantae-Tracheophyta--Geraniales-Vivianiaceae	Plantae	Tracheophyta		Geraniales	Vivianiaceae		141	wp-297.0000
62479	Plantae-Tracheophyta--Geraniales-Ledocarpaceae	Plantae	Tracheophyta		Geraniales	Ledocarpaceae		141	wp-298.0000
62499	Plantae-Tracheophyta--Myrtales-Combretaceae	Plantae	Tracheophyta		Myrtales	Combretaceae		141	wp-299.0000
63168	Plantae-Tracheophyta--Myrtales-Onagraceae	Plantae	Tracheophyta		Myrtales	Onagraceae		141	wp-300.0000
64269	Plantae-Tracheophyta--Myrtales-Lythraceae	Plantae	Tracheophyta		Myrtales	Lythraceae		141	wp-301.0000
65042	Plantae-Tracheophyta--Myrtales-Vochysiaceae	Plantae	Tracheophyta		Myrtales	Vochysiaceae		141	wp-302.0000
65315	Plantae-Tracheophyta--Myrtales-Melastomataceae	Plantae	Tracheophyta		Myrtales	Melastomataceae		141	wp-304.0000
71479	Plantae-Tracheophyta--Myrtales-Crypteroniaceae	Plantae	Tracheophyta		Myrtales	Crypteroniaceae		141	wp-305.0000
71496	Plantae-Tracheophyta--Myrtales-Penaeaceae	Plantae	Tracheophyta		Myrtales	Penaeaceae		141	wp-307.0000
71546	Plantae-Tracheophyta--Crossosomatales-Staphyleaceae	Plantae	Tracheophyta		Crossosomatales	Staphyleaceae		141	wp-308.0000
71602	Plantae-Tracheophyta--Crossosomatales-Guamatelaceae	Plantae	Tracheophyta		Crossosomatales	Guamatelaceae		141	wp-309.0000
71605	Plantae-Tracheophyta--Crossosomatales-Stachyuraceae	Plantae	Tracheophyta		Crossosomatales	Stachyuraceae		141	wp-310.0000
71628	Plantae-Tracheophyta--Crossosomatales-Aphloiaceae	Plantae	Tracheophyta		Crossosomatales	Aphloiaceae		141	wp-312.0000
71637	Plantae-Tracheophyta--Crossosomatales-Geissolomataceae	Plantae	Tracheophyta		Crossosomatales	Geissolomataceae		141	wp-313.0000
71640	Plantae-Tracheophyta--Crossosomatales-Strasburgeriaceae	Plantae	Tracheophyta		Crossosomatales	Strasburgeriaceae		141	wp-314.0000
71643	Plantae-Tracheophyta--Crossosomatales-Ixerbaceae	Plantae	Tracheophyta		Crossosomatales	Ixerbaceae		141	wp-315.0000
71647	Plantae-Tracheophyta--Picramniales-Picramniaceae	Plantae	Tracheophyta		Picramniales	Picramniaceae		141	wp-316.0000
71718	Plantae-Tracheophyta--Sapindales-Biebersteiniaceae	Plantae	Tracheophyta		Sapindales	Biebersteiniaceae		141	wp-317.0000
71724	Plantae-Tracheophyta--Sapindales-Nitrariaceae	Plantae	Tracheophyta		Sapindales	Nitrariaceae		141	wp-318.0000
71736	Plantae-Tracheophyta--Sapindales-Tetradiclidaceae	Plantae	Tracheophyta		Sapindales	Tetradiclidaceae		141	wp-319.0000
71748	Plantae-Tracheophyta--Sapindales-Kirkiaceae	Plantae	Tracheophyta		Sapindales	Kirkiaceae		141	wp-320.0000
71758	Plantae-Tracheophyta--Sapindales-Anacardiaceae	Plantae	Tracheophyta		Sapindales	Anacardiaceae		141	wp-321.0000
72879	Plantae-Tracheophyta--Sapindales-Burseraceae	Plantae	Tracheophyta		Sapindales	Burseraceae		141	wp-322.0000
73683	Plantae-Tracheophyta--Sapindales-Sapindaceae	Plantae	Tracheophyta		Sapindales	Sapindaceae		141	wp-323.0000
76034	Plantae-Tracheophyta--Sapindales-Rutaceae	Plantae	Tracheophyta		Sapindales	Rutaceae		141	wp-324.0000
