AcceptedTaxonID	DistributionElement	StandardInUse
1152780	CHI-NX	TDWG Level 4 code
1152787	AGS	TDWG Level 3 code
1152787	Argentina: Chubut, Neuquen, Rio Negro. Chile: Aisen, Cautin, Llanquihue, Los Lagos, Osorno, Rio Negro.	text
1152787	CLC	TDWG Level 3 code
1152787	CLS	TDWG Level 3 code
1152789	Australia: Victoria.	text
1152789	VIC	TDWG Level 3 code
1152792	5	TDWG Level 1 code
1152792	Australia	text
1152794	Australia: Victoria.	text
1152794	VIC	TDWG Level 3 code
1152795	50    	TDWG Level 2 code
1152795	Australia	text
1152796	5	TDWG Level 1 code
1152796	Australia	text
1152798	Australia: Victoria.	text
1152798	VIC	TDWG Level 3 code
1152799	50    	TDWG Level 2 code
1152799	Australia	text
1152802	51    	TDWG Level 2 code
1152802	New Zealand	text
1152804	TAS	TDWG Level 3 code
1152806	Chile: Arauco. Linares. Valdivia	text
1152806	CLC	TDWG Level 3 code
1152808	AGS	TDWG Level 3 code
1152808	Argentina: Chubut, Neuquen, Rio Negro, Santa Cruz; Chile: Aisen. Ultima Esperanza.	text
1152808	CLS-AI	TDWG Level 4 code
1152810	AGS	TDWG Level 3 code
1152810	Argentina: Chubut, Neuquen, Rio Negro. Chile: Aisen. Arauco. Cautin. Curico. La Araucania. Llanquihue. Los Lagos. Nuble. Rio Negro. Valdivia.	text
1152810	CLC	TDWG Level 3 code
1152810	CLS	TDWG Level 3 code
1152813	Australia: Tasmania.	text
1152813	TAS	TDWG Level 3 code
1152817	5	TDWG Level 1 code
1152821	Brazil: São Paulo.	text
1152821	BZL-SP	TDWG Level 4 code
1152822	Brazil: Minas Gerais.	text
1152822	BZL-MG	TDWG Level 4 code
1152823	Brazil: Sao Paolo.	text
1152823	BZL-SP	TDWG Level 4 code
1152825	Northeastern Australia, Running River drainage	text
1152825	QLD	TDWG Level 3 code
1152826	5	TDWG Level 1 code
1152826	Australia	text
1152833	Australia	text
1152833	QLD	TDWG Level 3 code
1152835	Australia.	text
1152835	QLD	TDWG Level 3 code
1152842	Australia: Victoria.	text
1152842	VIC	TDWG Level 3 code
1152843	TAS	TDWG Level 3 code
1152845	Australia: Queensland.	text
1152845	QLD-QU	TDWG Level 4 code
1152846	50    	TDWG Level 2 code
1152846	Australia	text
1152847	Australia: New South Wales, Victoria.	text
1152847	NSW	TDWG Level 3 code
1152847	VIC	TDWG Level 3 code
1152848	Australia.	text
1152848	QLD-QU	TDWG Level 4 code
1152849	Northeastern Australia, Running River drainage	text
1152849	QLD	TDWG Level 3 code
1152850	Australia	text
1152850	QLD	TDWG Level 3 code
1152851	Australia.	text
1152851	NSW	TDWG Level 3 code
1152852	Australia	text
1152852	NSW	TDWG Level 3 code
1152853	50    	TDWG Level 2 code
1152853	Australia	text
1152854	Australia	text
1152854	NSW	TDWG Level 3 code
1152855	Australia	text
1152855	QLD	TDWG Level 3 code
1152856	Australia: New South Wales, Victoria.	text
1152856	NSW	TDWG Level 3 code
1152856	VIC	TDWG Level 3 code
1152858	QLD	TDWG Level 3 code
1152859	NSW	TDWG Level 3 code
1152861	SOA	TDWG Level 3 code
1152863	Australia: New South Wales, Victoria.	text
1152863	NSW-CT	TDWG Level 4 code
