AcceptedTaxonID	ParentSpeciesID	InfraSpeciesEpithet	InfraSpeciesAuthorString	InfraSpeciesMarker	GSDNameStatus	Sp2000NameStatus	IsExtinct	HasPreHolocene	HasModern	LifeZone	AdditionalData	LTSSpecialist	LTSDate	InfraSpeciesURL	GSDNameGUID
1154661	1154660	turkestanica	(Kimmins, 1950)	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:465450	urn:lsid:Plecoptera.speciesfile.org:TaxonName:465450
1154662	1154660	brevicula	(Berthélemy & Dia, 1982)	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:465449	urn:lsid:Plecoptera.speciesfile.org:TaxonName:465449
1154694	1154693	balkanica	Baumann & D. Kaćanski, 1975	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:4823	urn:lsid:Plecoptera.speciesfile.org:TaxonName:4823
1154696	1154693	macedonica	Ikonomov, 1978	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:4820	urn:lsid:Plecoptera.speciesfile.org:TaxonName:4820
1154704	1154703	schilleri	(Rostock, 1892)	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:4809	urn:lsid:Plecoptera.speciesfile.org:TaxonName:4809
1154705	1154703	archaica	Zwick, P., 1984	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:4808	urn:lsid:Plecoptera.speciesfile.org:TaxonName:4808
1154706	1154703	balcanica	Zwick, P., 1984	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:4807	urn:lsid:Plecoptera.speciesfile.org:TaxonName:4807
1154722	1154721	transversa	Aubert, 1959	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:4782	urn:lsid:Plecoptera.speciesfile.org:TaxonName:4782
1154723	1154721	stigmatica	Okamoto, 1922	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:7508	urn:lsid:Plecoptera.speciesfile.org:TaxonName:7508
1154943	1154942	franzi	Aubert, 1956	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:4482	urn:lsid:Plecoptera.speciesfile.org:TaxonName:4482
1154944	1154942	paenibaetica	Sánchez-Ortega & Ropero-Montero, 1993	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:4481	urn:lsid:Plecoptera.speciesfile.org:TaxonName:4481
