ReferenceID	Authors	Year	Title	Source
16009	Stark & Stewart	1981	The Nearctic genera of Peltoperlidae (Plecoptera)	Journal of the Kansas Entomological Society (J. Kans. Entomol. Soc.) 54:285-311
16010	Stevens & Picker	1995	The Notonemouridae (Plecoptera) of southern Africa: description of a new genus, Balinskycercella, and a key to genera	African Entomology (Afr. Entomol.) 3:77-83
16011	Stewart, DeWalt & Oswood	1991	Alaskaperla, a new stonefly genus (Plecoptera: Chloroperlidae), and further descriptions of related Chloroperlidae	Annals of the Entomological Society of America (Ann. ent. Soc. Amer.) 84:239-247
16013	Surdick	1985	Nearctic genera of Chloroperlinae (Plecoptera: Chloroperlidae)	Illinois Biological Monographs (Ill. Biol. Monogr.) 54:1-146
16014	Surdick	1981	New Nearctic Chloroperlidae (Plecoptera)	Great Basin Naturalist (Gr. Bas. Nat.) 41:349-359
16015	Szczytko & R.L. Bottorff	1987	Cosumnoperla hypocrena, a new genus and species of western Nearctic Isoperlinae (Plecoptera: Perlodidae)	The Pan-Pacific Entomologist (Pan-Pac. Ent.) 63:65-74
16016	Szczytko & Stewart	1979	The genus Isoperla (Plecoptera) of western North America; holomorphology and systematics and a new stonefly genus Cascadoperla	Memoirs of the American Entomological Society (Mem. Am. Entomol. Soc.) 32:1-120
16017	Theischinger	1982	New and little known dinotoperline stoneflies from Australia (Insecta: Plecoptera: Gripopterygidae)	Memoirs of the Queensland Museum (Mem.Queensl.Mus.) 20(3):489-525
16018	Theischinger	1981	New and little known stoneflies from Australia (Insecta: Plecoptera)	Aquatic Insects: International Journal of Freshwater Entomology (Aquatic Insects) 3(2):103-127
16019	Tillyard	1935	Upper Permian insects of New South Wales. Pt. 5. The Order Perlaria or stone-flies.	Proceedings of the Linnean Society of New South Wales (Proc. Linn. Soc. N. S. W.) 60:385-391
