AcceptedTaxonID	ParentSpeciesID	InfraSpeciesEpithet	InfraSpeciesAuthorString	InfraSpeciesMarker	GSDNameStatus	Sp2000NameStatus	IsFossil	LifeZone	AdditionalData	LTSSpecialist	LTSDate	InfraSpeciesURL	GSDTaxonGUI	GSDNameGUI	
335591	130411	bombayensis	Bhatt in Parulekar, 1972	Subspecies	accepted	Accepted name	0	marine		Fauchald, Kristian	2008-03-26 12:36:43	http://www.marinespecies.org/polychaeta/aphia.php?p=taxdetails&id=335591		urn:lsid:marinespecies.org:taxname:335591	
335592	130411	djiboutensis	Fauvel, 1919	Subspecies	accepted	Accepted name	0	marine		Fauchald, Kristian	2008-03-26 12:36:43	http://www.marinespecies.org/polychaeta/aphia.php?p=taxdetails&id=335592		urn:lsid:marinespecies.org:taxname:335592	
335593	130411	majungaensis	Fauvel, 1921	Subspecies	accepted	Accepted name	0	marine		Fauchald, Kristian	2008-03-26 12:36:43	http://www.marinespecies.org/polychaeta/aphia.php?p=taxdetails&id=335593		urn:lsid:marinespecies.org:taxname:335593	
335821	130411	vallata	(Grube, 1857)	Subspecies	accepted	Accepted name	0	marine		Fauchald, Kristian	2008-03-26 12:36:43	http://www.marinespecies.org/polychaeta/aphia.php?p=taxdetails&id=335821		urn:lsid:marinespecies.org:taxname:335821	
335594	209795	indica	Bhatt in Parulekar, 1972	Subspecies	accepted	Accepted name	0	marine		Fauchald, Kristian	2008-03-26 12:36:43	http://www.marinespecies.org/polychaeta/aphia.php?p=taxdetails&id=335594		urn:lsid:marinespecies.org:taxname:335594	
335595	209795	tetradentata	Imajima, 1972	Subspecies	accepted	Accepted name	0	marine		Fauchald, Kristian	2008-03-26 12:36:43	http://www.marinespecies.org/polychaeta/aphia.php?p=taxdetails&id=335595		urn:lsid:marinespecies.org:taxname:335595	
335822	209714	borealis	Reibisch, 1895	Subspecies	accepted	Accepted name	0	marine		Fauchald, Kristian	2008-03-26 12:36:43	http://www.marinespecies.org/polychaeta/aphia.php?p=taxdetails&id=335822		urn:lsid:marinespecies.org:taxname:335822	
335823	209714	pictus	Greeff, 1879	Subspecies	accepted	Accepted name	0	marine		Fauchald, Kristian	2008-03-26 12:36:43	http://www.marinespecies.org/polychaeta/aphia.php?p=taxdetails&id=335823		urn:lsid:marinespecies.org:taxname:335823	
335824	155502	indica	(Fauvel, 1928)	Subspecies	accepted	Accepted name	0	marine		Fauchald, Kristian	2008-03-26 12:36:43	http://www.marinespecies.org/polychaeta/aphia.php?p=taxdetails&id=335824		urn:lsid:marinespecies.org:taxname:335824	
335825	130113	africana	(Rullier, 1965)	Subspecies	accepted	Accepted name	0	marine		Fauchald, Kristian	2008-03-26 12:36:43	http://www.marinespecies.org/polychaeta/aphia.php?p=taxdetails&id=335825		urn:lsid:marinespecies.org:taxname:335825	
335826	130113	horsti	Haswell, 1892	Subspecies	accepted	Accepted name	0	marine		Fauchald, Kristian	2008-03-26 12:36:43	http://www.marinespecies.org/polychaeta/aphia.php?p=taxdetails&id=335826		urn:lsid:marinespecies.org:taxname:335826	
335597	130603	caeca	Uschakov, 1950	Subspecies	accepted	Accepted name	0	marine		Fauchald, Kristian	2008-03-26 12:36:43	http://www.marinespecies.org/polychaeta/aphia.php?p=taxdetails&id=335597		urn:lsid:marinespecies.org:taxname:335597	
