ID	AcceptedTaxonID	Genus	SubgenusName	SpeciesEpithet	AuthorString	InfraSpecies	InfraSpeciesMarker	InfraSpeciesAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUID
174438	1201385	Peloria		lobiceps	(Macleay, 1884)				Subsequent combination	Unambiguous synonym	urn:lsid:Phasmida.speciesfile.org:TaxonName:5117
174444	1201381	Cyphocrania		pasimachus	Westwood, 1859				Original combination	Unambiguous synonym	urn:lsid:Phasmida.speciesfile.org:TaxonName:5123
174445	1201381	Acrophylla		pasimachus	(Westwood, 1859)				Subsequent combination	Unambiguous synonym	urn:lsid:Phasmida.speciesfile.org:TaxonName:5123
174446	1201381	Onchestus		pasimachus	(Westwood, 1859)				Subsequent combination	Unambiguous synonym	urn:lsid:Phasmida.speciesfile.org:TaxonName:5123
174447	1201381	Anchiale		pasimachus	(Westwood, 1859)				Subsequent combination	Unambiguous synonym	urn:lsid:Phasmida.speciesfile.org:TaxonName:5123
174449	1201380	Cyphocrania		cornuta	Tepper, 1905				Original combination	Unambiguous synonym	urn:lsid:Phasmida.speciesfile.org:TaxonName:5128
174450	1201380	Acrophylla		cornuta	(Tepper, 1905)				Subsequent combination	Unambiguous synonym	urn:lsid:Phasmida.speciesfile.org:TaxonName:5128
174452	1201609	Paracyphocrania		tecticollis	(Redtenbacher, 1908)				Subsequent combination	Unambiguous synonym	urn:lsid:Phasmida.speciesfile.org:TaxonName:5132
174453	1201609	Vasilissa		tecticollis	Redtenbacher, 1908				Junior synonym	Unambiguous synonym	urn:lsid:Phasmida.speciesfile.org:TaxonName:5132
174460	1201373	Lopaphus		gorgus	Westwood, 1859				Original combination	Unambiguous synonym	urn:lsid:Phasmida.speciesfile.org:TaxonName:5140
174466	1201367	Cyphocrania	Eurycnema	versirubra	Serville, 1838				Original combination	Unambiguous synonym	urn:lsid:Phasmida.speciesfile.org:TaxonName:5146
174471	1201367	Cyphocrania	Eurycnema	versifasciata	Serville, 1838				Junior synonym	Unambiguous synonym	urn:lsid:Phasmida.speciesfile.org:TaxonName:5154
174474	1201367	Eurycnema		versifasciata	(Serville, 1838)				Subsequent combination	Unambiguous synonym	urn:lsid:Phasmida.speciesfile.org:TaxonName:5154
174478	1201367	Cyphocrania		herculeana	Charpentier, 1845				Junior synonym	Unambiguous synonym	urn:lsid:Phasmida.speciesfile.org:TaxonName:5159
174479	1201367	Eurycnema		herculeana	(Charpentier, 1845)				Subsequent combination	Unambiguous synonym	urn:lsid:Phasmida.speciesfile.org:TaxonName:5159
174486	1201363	Phasma	Diura	osiris	Gray, G.R., 1834				Original combination	Unambiguous synonym	urn:lsid:Phasmida.speciesfile.org:TaxonName:5169
174487	1201363	Acrophylla		osiris	(Gray, G.R., 1834)				Subsequent combination	Unambiguous synonym	urn:lsid:Phasmida.speciesfile.org:TaxonName:5169
174489	1201363	Ctenomorpha		osiris	(Gray, G.R., 1834)				Subsequent combination	Unambiguous synonym	urn:lsid:Phasmida.speciesfile.org:TaxonName:5169
