AcceptedTaxonID	DistributionElement	StandardInUse
1172577	ANG	TDWG Level 3 code
1172577	Angola; Congo, Democratic Republic of the	text
1172577	ZAI	TDWG Level 3 code
1172580	CON	TDWG Level 3 code
1172580	Congo, Republic of the	text
1172581	CON	TDWG Level 3 code
1172581	Congo, Republic of the	text
1172585	PAN	TDWG Level 3 code
1172585	Panama	text
1172587	Indonesia (Sumatra); Indonesia (Java Island)	text
1172587	JAW	TDWG Level 3 code
1172587	SUM	TDWG Level 3 code
1172592	Indonesia (Sumatra)	text
1172592	SUM	TDWG Level 3 code
1172595	Indonesia (Ambon Island)	text
1172595	MOL	TDWG Level 3 code
1172597	Cameroon	text
1172597	CMN	TDWG Level 3 code
1172598	CMN	TDWG Level 3 code
1172598	GUI	TDWG Level 3 code
1172598	Guinea; Cameroon	text
1172601	New Guinea Island	text
1172601	NWG	TDWG Level 3 code
1172603	CON	TDWG Level 3 code
1172603	Congo, Republic of the	text
1172604	Madagascar	text
1172604	MDG	TDWG Level 3 code
1172605	Madagascar	text
1172605	MDG	TDWG Level 3 code
1172606	Cameroon; Cameroon; Equatorial Guinea, Republic of (Bioko Island); Gabon; Congo, Democratic Republic of the	text
1172606	CMN	TDWG Level 3 code
1172606	GAB	TDWG Level 3 code
1172606	GGI-BI	TDWG Level 4 code
1172606	ZAI	TDWG Level 3 code
1172607	GUI	TDWG Level 3 code
1172607	Guinea; Sierra Leone	text
1172607	SIE	TDWG Level 3 code
1172608	Madagascar	text
1172608	MDG	TDWG Level 3 code
1172609	CON	TDWG Level 3 code
1172609	Congo, Republic of the	text
1172610	Cameroon	text
1172610	CMN	TDWG Level 3 code
1172611	TAN	TDWG Level 3 code
1172611	Tanzania (Zanzibar Island)	text
1172612	MLW	TDWG Level 3 code
1172612	MOZ	TDWG Level 3 code
1172612	TAN	TDWG Level 3 code
1172612	Tanzania; Zimbabwe; Malawi; Mozambique	text
1172612	ZIM	TDWG Level 3 code
1172615	Madagascar	text
1172615	MDG	TDWG Level 3 code
1172616	COM-CO	TDWG Level 4 code
1172616	Comoros	text
1172617	CMN	TDWG Level 3 code
1172617	GAB	TDWG Level 3 code
1172617	GGI-BI	TDWG Level 4 code
