ID	AcceptedTaxonID	Genus	SubgenusName	SpeciesEpithet	AuthorString	InfraSpecies	InfraSpeciesMarker	InfraSpeciesAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUID
150747	1176554	Arublatta		bipunctata	(Walker, F., 1869)				Subsequent combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3396
150749	1176556	Phyllodromia		confluens	Hanitsch, 1925				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3391
150753	1176559	Phyllodromia		diagrammatica	Hanitsch, 1923				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3386
150754	1176559	Euhanitschia		diagrammatica	(Hanitsch, 1923)				Subsequent combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3386
150756	1176560	Blatta		diluta	Saussure, 1863				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3384
150759	1176562	Blatta		funebris	Walker, F., 1868				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3380
150760	1176562	Arublatta		funebris	(Walker, F., 1868)				Subsequent combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3380
150764	1176565	Blatta		hamifera	Walker, F., 1868				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3376
150766	1176566	Phyllodromia		immunda	Brunner von Wattenwyl, 1893				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3373
150768	1176566	Blatta		marmorata	Walker, F., 1869				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3375
150769	1176568	Phyllodromia		interrupta	Hanitsch, 1925				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3371
150771	1176569	Chorisoblatta		karnyi	Hanitsch, 1928				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3370
150773	1176569	Compsosilpha		karnyi	(Hanitsch, 1928)				Subsequent combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3370
150774	1176570	Phyllodromia		labyrinthica	Hanitsch, 1927				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3366
150777	1176572	Phyllodromia		luteomarginata	Hanitsch, 1923				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3363
150779	1176573	Phyllodromia		maculicollis	Hanitsch, 1927				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3360
150780	1176573	Arublatta		maculicollis	(Hanitsch, 1927)				Subsequent combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3360
150784	1176576	Blatta		megaspila	Walker, F., 1868				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3356
150786	1176577	Abrodiaeta		modesta	Brunner von Wattenwyl, 1893				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3354
150790	1176580	Scalida		pantherina	Hanitsch, 1933				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3350
150794	1176583	Blatta		polygrapha	Walker, F., 1868				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3346
150796	1176584	Phyllodromia		puncticollis	Brunner von Wattenwyl, 1898				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3343
150797	1176584	Lupparia		puncticollis	(Brunner von Wattenwyl, 1898)				Subsequent combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3343
150804	1176590	Blatta		figurata	Walker, F., 1871				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3335
150807	1176591	Blatta		arborifera	Walker, F., 1868				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3332
150810	1176592	Phyllodromia		picturata	Shelford, 1907				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3329
150822	1176600	Phyllodromia		conspersa	Brunner von Wattenwyl, 1865				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3316
150824	1176600	Neoblattella		sooretamensis	Rocha e Silva, 1958				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3318
150836	1176611	Neoblattella		platystylata	Hebard, 1921				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3305
150837	1176611	Amazonina		castanea	Rocha e Silva, 1955				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3306
150851	1176626	Asemoblatta		nana	Hebard, 1921				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3289
150855	1176629	Mareta		acutiventris	Chopard, 1924				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3285
150858	1176631	Mareta		arborescens	Hanitsch, 1930				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3282
150861	1176633	Margattea		aurea	Hanitsch, 1928				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3279
150864	1176635	Margattea		bilobata	Hanitsch, 1928				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3276
150866	1176636	Supellina		brunnea	Chopard, 1924				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3274
150868	1176637	Mareta		caledonica	Chopard, 1924				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:466604
150870	1176638	Phyllodromia		camerunensis	Shelford, 1908				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3270
150873	1176639	Mareta		similis	Chopard, 1924				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:466619
150874	1176641	Margattea		crassivenosa	Bolívar, 1924				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3266
150885	1176651	Mareta		globifera	Hanitsch, 1933				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3254
150886	1176651	Dewittea		globifera	(Hanitsch, 1933)				Subsequent combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3254
150888	1176652	Mareta		godeffroyi	Shelford, 1911				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3252
150892	1176655	Mareta		granulosa	Hanitsch, 1933				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3248
150895	1176656	Balta		insignis	Hebard, 1943				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3247
150898	1176660	Allactina		ikonnikovi	Bei-Bienko, 1941				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3242
150900	1176661	Matabelina		inermis	Princis, 1963				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3240
150902	1176662	Blatta		innotabilis	Walker, F., 1871				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3237
150904	1176662	Mareta		conspicienda	Bolívar, 1895				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3239
150906	1176664	Phyllodromia		insignis	Shelford, 1910				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3235
150907	1176664	Balta		benzoni	Princis, 1951				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3236
150908	1176666	Allactina		jacobsoni	Hebard, 1929				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3232
150912	1176669	Apolyta		litura	Tepper, 1896				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3227
150913	1176669	Stenectoneura		litura	(Tepper, 1896)				Subsequent combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3227
150915	1176670	Matabelina		livida	Princis, 1963				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3225
150919	1176671	Mareta		longe-alata	Hanitsch, 1930				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:9014
150920	1176673	Margattea		longicercata	Bolívar, 1924				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3219
150922	1176673	Afrobalta		decellei	Princis, 1969				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3221
150925	1176676	Mareta		luzonica	Bei-Bienko, 1941				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3216
150928	1176678	Allacta		montaguei	Chopard, 1924				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3213
150930	1176679	Blatta		mundicola	Walker, F., 1868				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3210
150932	1176679	Blatta		inquinata	Walker, F., 1868				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3212
150934	1176682	Chorisoneura		nigrolineata	Stål, 1877				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3207
150936	1176683	Lupparia		notulata	(Stål, 1860)				Subsequent combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3201
150938	1176683	Blatta		notulata	Stål, 1860				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3201
150939	1176683	Phyllodromia		hieroglyphica	Brunner von Wattenwyl, 1865				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3206
150940	1176683	Margattea		laxiretis	Bolívar, 1924				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3205
150941	1176683	Margattea		scripta	Chopard, 1924				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3204
150943	1176688	Blatta		papua	Saussure & Zehntner, 1895				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3198
150945	1176689	Margattea		parvula	Bolívar, 1924				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3196
150947	1176690	Blatta		patula	Walker, F., 1869				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3192
150949	1176690	Phyllodromia		latipennis	Brunner von Wattenwyl, 1865				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3195
150950	1176690	Apolyta		pallida	Tepper, 1893				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3194
150956	1176697	Asemoblatta		pilosa	Salazar, 2004				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:474437
150961	1176702	Blatta		ramifera	Walker, F., 1871				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3180
150963	1176703	Blatta		reticulata	Fabricius, 1798				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3176
150965	1176703	Blatta		humbertiana	Saussure, 1863				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3179
150966	1176703	Phyllodromia		mendica	Shelford, 1908				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3178
150968	1176707	Phyllodromia		ruficeps	Kirby, W. F., 1900				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3172
150970	1176707	Matabelina		bicolor	Princis, 1963				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3174
150972	1176710	Mareta		scripta	Shelford, 1911				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3169
150975	1176712	Margattea		setifera	Hanitsch, 1929				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3166
150977	1176713	Mareta		siccifolia	Hanitsch, 1932				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3164
150980	1176715	Blatta		similis	Saussure, 1869				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3160
150982	1176715	Phyllodromia		obtusata	Brunner von Wattenwyl, 1895				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3162
150983	1176717	Phyllodromia		spuria	Brunner von Wattenwyl, 1865				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3155
150985	1176717	Blatta		bitaeniata	Saussure, 1869				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3159
150986	1176717	Blatta		latirupta	Walker, F., 1869				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3158
150987	1176717	Apolyta		marginata	Tepper, 1895				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3157
150989	1176722	Apolyta		testacea	Tepper, 1896				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3152
150993	1176725	Phyllodromia		translucida	Shelford, 1908				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3148
150996	1176727	Mareta		tricolor	Hanitsch, 1934				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3145
150998	1176728	Supellina		unicolor	Chopard, 1929				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3143
151001	1176730	Ceratinoptera		variegata	Hanitsch, 1933				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3140
151005	1176733	Phyllodromia		vicina	Brunner von Wattenwyl, 1893				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3136
151007	1176734	Phyllodromia		vilis	Brunner von Wattenwyl, 1865				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3134
151009	1176734	Lupparia		vilis	(Brunner von Wattenwyl, 1865)				Subsequent combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3134
151010	1176734	Phyllodromia		ogatai	Shiraki, 1931				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3135
151026	1176749	Amazonina		sooretamensis	Rocha e Silva, 1963				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3123
151031	1176753	Theganopteryx		antiguensis	Saussure & Zehntner, 1893				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3118
151042	1176763	Blatta	Phyllodromia	delicatula	Guérin-Méneville, 1857				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3106
151044	1176763	Blatta		punctulata	Palisot de Beauvois, 1805				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3108
151059	1176779	Blatta		insularis	Walker, F., 1868				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3090
151069	1176788	Amazonina		mineira	Rocha e Silva, 1955				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3078
151071	1176788	Cariblatta		guanabarina	Rocha e Silva & Lopes, 1975				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3080
151085	1176802	Blatta		reticulosa	Walker, F., 1868				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3064
151102	1176818	Ceratinoptera		lutea	Saussure & Zehntner, 1893				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:474480
151107	1176820	Cariblatta		lutea		minima	subspecies	Hebard, 1916	Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:474481
151116	1176828	Carriblattoides		belenensis	(Rocha e Silva, 1964)				Subsequent combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3036
151118	1176829	Carriblattoides		fontesi	(Rocha e Silva, 1954)				Subsequent combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3034
151122	1176832	Carriblattoides		instigator	(Rehn, J. A. G. & Hebard, 1927)				Subsequent combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3030
151124	1176833	Carriblattoides		matogrossensis	(Rocha e Silva, 1958)				Subsequent combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3028
151127	1176835	Carriblattoides		neoinstigator	(Rocha e Silva, 1958)				Subsequent combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3025
151129	1176836	Carriblattoides		piraiensis	(Rocha e Silva, 1955)				Subsequent combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3023
