AcceptedTaxonID	ParentSpeciesID	InfraSpeciesEpithet	InfraSpeciesAuthorString	InfraSpeciesMarker	GSDNameStatus	Sp2000NameStatus	IsFossil	LifeZone	AdditionalData	LTSSpecialist	LTSDate	InfraSpeciesURL	GSDTaxonGUI	GSDNameGUI	
757573	212455	untenensis	Cooke, 1954	Subspecies	accepted	Accepted name	1	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757573		urn:lsid:marinespecies.org:taxname:757573	
513668	212454	formosum	Mortensen, 1948	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2013-08-20 08:10:03	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=513668		urn:lsid:marinespecies.org:taxname:513668	
608144	212454	joubini	Koehler, 1922	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2012-08-31 09:39:00	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=608144		urn:lsid:marinespecies.org:taxname:608144	
757682	754804	minor	Sánchez Roig, 1926	Subspecies	accepted	Accepted name	1	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757682		urn:lsid:marinespecies.org:taxname:757682	
757683	513815	hawaiiensis	Mortensen, 1942	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757683		urn:lsid:marinespecies.org:taxname:757683	
757684	754805	anglica	Hawkins, 1935	Subspecies	accepted	Accepted name	1	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757684		urn:lsid:marinespecies.org:taxname:757684	
757685	756057	depressa	Checchia-Rispoli, 1950	Subspecies	accepted	Accepted name	1	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757685		urn:lsid:marinespecies.org:taxname:757685	
757687	754806	brevipetala	Lambert & Pérébaskine, 1929	Subspecies	accepted	Accepted name	1	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757687		urn:lsid:marinespecies.org:taxname:757687	
757688	754807	bathonica	Mercier, 1932	Subspecies	accepted	Accepted name	1	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757688		urn:lsid:marinespecies.org:taxname:757688	
513669	513070	acuminata	Mortensen, 1948	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2013-08-20 08:10:03	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=513669		urn:lsid:marinespecies.org:taxname:513669	
608145	513070	doederleini	Mortensen, 1950	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2012-08-31 09:39:00	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=608145		urn:lsid:marinespecies.org:taxname:608145	
422800	367850	carolinus	A. Agassiz, 1863	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2012-07-02 09:12:59	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=422800		urn:lsid:marinespecies.org:taxname:422800	
766097	367850	pallidus	H. L. Clark, 1925	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2014-06-24 19:53:00	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=766097		urn:lsid:marinespecies.org:taxname:766097	
757574	367850	plurituberculatus	Kier, 1963	Subspecies	accepted	Accepted name	1	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757574		urn:lsid:marinespecies.org:taxname:757574	
422799	367850	variegatus	(Lamarck, 1816)	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2011-04-15 22:27:01	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=422799		urn:lsid:marinespecies.org:taxname:422799	
757690	754808	brevistella	Venzo, 1935	Subspecies	accepted	Accepted name	1	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757690		urn:lsid:marinespecies.org:taxname:757690	
546882	367846	grandis	Gray, 1851	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2013-08-20 08:10:03	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=546882		urn:lsid:marinespecies.org:taxname:546882	
422804	367846	ventricosa	(Lamarck, 1816)	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2011-01-27 21:48:19	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=422804		urn:lsid:marinespecies.org:taxname:422804	
590072	590071	elevata	(Mortensen, 1940)	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2011-12-03 18:01:36	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=590072		urn:lsid:marinespecies.org:taxname:590072	
608146	590071	persica	(Mortensen, 1940)	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2012-08-31 09:39:00	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=608146		urn:lsid:marinespecies.org:taxname:608146	
757575	754809	planus	Maczýnska, 1968	Subspecies	accepted	Accepted name	1	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757575		urn:lsid:marinespecies.org:taxname:757575	
757691	756158	inornata	Jeannet, in Lambert & Jeannet, 1935	Subspecies	accepted	Accepted name	1	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757691		urn:lsid:marinespecies.org:taxname:757691	
757692	212444	godeffroyi	Mortensen, 1942	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757692		urn:lsid:marinespecies.org:taxname:757692	
757693	212443	purpuratus	Mortensen, 1942	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757693		urn:lsid:marinespecies.org:taxname:757693	
608147	158067	atropos	(Lamarck, 1816)	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2012-08-31 09:39:00	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=608147		urn:lsid:marinespecies.org:taxname:608147	
546881	158067	clotho	Michelin, 1855	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2013-08-20 08:10:03	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=546881		urn:lsid:marinespecies.org:taxname:546881	
513673	160814	contracta	Koehler, 1926	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2013-08-20 08:10:03	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=513673		urn:lsid:marinespecies.org:taxname:513673	
608148	160814	platyacantha	(H.L. Clark, 1925)	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2012-08-31 09:39:00	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=608148		urn:lsid:marinespecies.org:taxname:608148	
757576	754811	brevior	Dartevelle, 1953	Subspecies	accepted	Accepted name	1	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757576		urn:lsid:marinespecies.org:taxname:757576	
757695	754812	ancegavensis	Cottreau, 1933	Subspecies	accepted	Accepted name	1	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757695		urn:lsid:marinespecies.org:taxname:757695	
757696	513417	purpurascens	Mortensen, 1942	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757696		urn:lsid:marinespecies.org:taxname:757696	
757697	214670	australiensis	Mortensen, 1942	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757697		urn:lsid:marinespecies.org:taxname:757697	
757698	754813	laevis	Palmer, in Sánchez Roig, 1949	Subspecies	accepted	Accepted name	1	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757698		urn:lsid:marinespecies.org:taxname:757698	
757699	754814	baldryi	Brighton, 1926	Subspecies	accepted	Accepted name	1	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757699		urn:lsid:marinespecies.org:taxname:757699	
757700	513424	virescens	Mortensen, 1942	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757700		urn:lsid:marinespecies.org:taxname:757700	
757701	756238	angulatus	Kier, 1957	Subspecies	accepted	Accepted name	1	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757701		urn:lsid:marinespecies.org:taxname:757701	
513674	212438	boninensis	Mortensen, 1930	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2013-08-20 08:10:03	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=513674		urn:lsid:marinespecies.org:taxname:513674	
608149	212438	gratiosa	A. Agassiz, 1863	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2012-08-31 09:39:00	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=608149		urn:lsid:marinespecies.org:taxname:608149	
757702	754815	inflata	Lambert, in Lambert & Jacquet, 1936	Subspecies	accepted	Accepted name	1	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757702		urn:lsid:marinespecies.org:taxname:757702	
757703	754815	latipetala	Lambert, in Lambert & Jacquet, 1936	Subspecies	accepted	Accepted name	1	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757703		urn:lsid:marinespecies.org:taxname:757703	
757704	754815	sulcata	Lambert, in Lambert & Jacquet, 1936	Subspecies	accepted	Accepted name	1	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757704		urn:lsid:marinespecies.org:taxname:757704	
757577	754816	floridanus	Fischer, 1951	Subspecies	accepted	Accepted name	1	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757577		urn:lsid:marinespecies.org:taxname:757577	
513675	513443	gadiana	Mortensen, 1948	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2013-08-20 08:10:03	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=513675		urn:lsid:marinespecies.org:taxname:513675	
608150	513443	lesueuri	(L. Agassiz, 1841)	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2012-08-31 09:39:00	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=608150		urn:lsid:marinespecies.org:taxname:608150	
513676	513443	rostrata	(L. Agassiz, 1841)	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2013-08-20 08:10:03	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=513676		urn:lsid:marinespecies.org:taxname:513676	
757705	213607	concava	Mortensen, 1948	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757705		urn:lsid:marinespecies.org:taxname:757705	
608151	213607	orbicularis	(Leske, 1778)	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2012-08-31 09:39:00	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=608151		urn:lsid:marinespecies.org:taxname:608151	
757706	754817	punica	Lambert, 1931	Subspecies	accepted	Accepted name	1	marine		Kroh, Andreas	2014-03-11 16:00:26	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=757706		urn:lsid:marinespecies.org:taxname:757706	
224159	124343	africana	Mortensen, 1934	Subspecies	accepted	Accepted name	0	marine		Kroh, Andreas	2014-06-23 23:14:09	http://www.marinespecies.org/echinoidea/aphia.php?p=taxdetails&id=224159		urn:lsid:marinespecies.org:taxname:224159	
