AcceptedTaxonID	DistributionElement	StandardInUse	DistributionStatus	
368800	South China Sea	Text		
380786	South China Sea	Text		
254836	South China Sea	Text		
368496	Gulf of Siam	Text		
368496	Gulf of Thailand	Text		
380629	Flores Sea	Text		
345402	Timor Sea	Text		
369000	Arafura Sea	Text		
255078	Arafura Sea	Text		
369000	Banda Sea	Text		
380772	Banda Sea	Text		
292844	Mindanao Sea	Text		
292844	Sulu Sea	Text		
380733	Sulu Sea	Text		
380659	Tasman Sea	Text		
172789	Bellingshausen Sea	Text		
172693	Bellingshausen Sea	Text		
172661	Bellingshausen Sea	Text		
172662	Bellingshausen Sea	Text		
234928	Bellingshausen Sea	Text		
234931	Bellingshausen Sea	Text		
172667	Bellingshausen Sea	Text		
234932	Bellingshausen Sea	Text		
234927	Bellingshausen Sea	Text		
234921	Bellingshausen Sea	Text		
172766	Bellingshausen Sea	Text		
172772	Bellingshausen Sea	Text		
178790	Bellingshausen Sea	Text		
234903	Bellingshausen Sea	Text		
234884	Bellingshausen Sea	Text		
380770	Cook Strait	Text		
172757	Ross Sea	Text		
234943	Ross Sea	Text		
172750	Ross Sea	Text		
172764	Ross Sea	Text		
172758	Ross Sea	Text		
234935	Ross Sea	Text		
234936	Ross Sea	Text		
172693	Ross Sea	Text		
234937	Ross Sea	Text		
172667	Ross Sea	Text		
172668	Ross Sea	Text		
172670	Ross Sea	Text		
172659	Ross Sea	Text		
172738	Ross Sea	Text		
172766	Ross Sea	Text		
